filename	TGT	OTH	prev_phone	next_phone	TGT_item	OTH_item	X_item	TGT_first	speaker_tgt_oth	speaker_x
FR75	a	ɛ	s	d	38	195	40	True	M08_N	M10_N
FR76	a	ɛ	s	d	38	195	40	False	M08_N	M10_N
FR77	a	ɛ	s	k	187	197	44	True	M04_O	F02_N
FR78	a	ɛ	s	k	187	197	44	False	M04_O	F02_N
FR79	ɛ	a	s	d	195	38	196	True	M08_N	M10_N
FR80	ɛ	a	s	d	195	38	196	False	M08_N	M10_N
FR81	ɛ	a	s	k	197	187	198	True	M04_O	M10_N
FR82	ɛ	a	s	k	197	187	198	False	M04_O	M10_N
FR83	ɛ	a	d	s	193	34	194	True	M08_N	M10_N
FR84	ɛ	a	d	s	193	34	194	False	M08_N	M10_N
FR85	a	ɛ̃	s	k	187	199	44	True	M04_O	F02_N
FR86	a	ɛ̃	s	k	187	199	44	False	M04_O	F02_N
FR87	a	ɛ̃	d	p	201	202	203	True	F01_O	M01_O
FR88	a	ɛ̃	d	p	201	202	203	False	F01_O	M01_O
FR89	a	ɛ̃	p	t	2560	2559	2569	True	F06_O	M10_N
FR90	a	ɛ̃	p	t	2560	2559	2569	False	F06_O	M10_N
FR91	ɛ̃	a	s	k	199	187	200	True	M04_O	M10_N
FR92	ɛ̃	a	s	k	199	187	200	False	M04_O	M10_N
FR93	ɛ̃	a	d	p	202	201	204	True	F01_O	M01_O
FR94	ɛ̃	a	d	p	202	201	204	False	F01_O	M01_O
FR95	ɛ̃	a	p	t	2559	2560	2561	True	F06_O	M10_N
FR96	ɛ̃	a	p	t	2559	2560	2561	False	F06_O	M10_N
FR97	a	ʁ	i	k	12	209	14	True	F06_O	M07_O
FR98	a	ʁ	i	k	12	209	14	False	F06_O	M07_O
FR99	a	ʁ	d	k	16	211	18	True	F01_O	F03_O
FR100	a	ʁ	d	k	16	211	18	False	F01_O	F03_O
FR101	a	ʁ	u	b	2729	2730	2960	True	F06_N	F06_O
FR102	a	ʁ	u	b	2729	2730	2960	False	F06_N	F06_O
FR103	ʁ	a	i	k	209	12	210	True	F06_O	M10_N
FR104	ʁ	a	i	k	209	12	210	False	F06_O	M10_N
FR105	ʁ	a	d	k	211	16	212	True	F01_O	F06_O
FR106	ʁ	a	d	k	211	16	212	False	F01_O	F06_O
FR107	ʁ	a	u	b	2730	2729	2841	True	F06_N	F01_N
FR108	ʁ	a	u	b	2730	2729	2841	False	F06_N	F01_N
FR109	b	k	i	a	230	256	232	True	F06_N	M04_O
FR110	b	k	i	a	230	256	232	False	F06_N	M04_O
FR111	b	k	t	a	246	257	244	True	M07_O	F06_O
FR112	b	k	t	a	246	257	244	False	M07_O	F06_O
FR113	b	k	a	ɛ	228	634	238	True	M01_O	M08_N
FR114	b	k	a	ɛ	228	634	238	False	M01_O	M08_N
FR115	k	b	i	a	256	230	63	True	F06_N	M10_N
FR116	k	b	i	a	256	230	63	False	F06_N	M10_N
FR117	k	b	t	a	257	246	258	True	M07_O	F02_N
FR118	k	b	t	a	257	246	258	False	M07_O	F02_N
FR119	k	b	a	ɛ	634	228	254	True	M01_O	F10_O
FR120	k	b	a	ɛ	634	228	254	False	M01_O	F10_O
FR121	b	m	i	a	230	267	232	True	F06_N	M04_O
FR122	b	m	i	a	230	267	232	False	F06_N	M04_O
FR123	b	m	a	ɛ	238	264	228	True	M08_N	M01_O
FR124	b	m	a	ɛ	238	264	228	False	M08_N	M01_O
FR125	b	m	i	ɛ	241	266	243	True	M10_O	F04_O
FR126	b	m	i	ɛ	241	266	243	False	M10_O	F04_O
FR127	m	b	i	a	267	230	268	True	F06_N	M10_N
FR128	m	b	i	a	267	230	268	False	F06_N	M10_N
FR129	m	b	a	ɛ	264	238	265	True	M08_N	F02_N
FR130	m	b	a	ɛ	264	238	265	False	M08_N	F02_N
FR131	m	b	i	ɛ	266	241	73	True	M10_O	F02_N
FR132	m	b	i	ɛ	266	241	73	False	M10_O	F02_N
FR133	b	p	i	a	232	278	230	True	M04_O	F06_N
FR134	b	p	i	a	232	278	230	False	M04_O	F06_N
FR135	b	p	t	a	244	280	246	True	F06_O	M07_O
FR136	b	p	t	a	244	280	246	False	F06_O	M07_O
FR137	b	p	a	ɛ	238	276	228	True	M08_N	M01_O
FR138	b	p	a	ɛ	238	276	228	False	M08_N	M01_O
FR139	p	b	t	a	280	244	281	True	F06_O	F06_N
FR140	p	b	t	a	280	244	281	False	F06_O	F06_N
FR141	p	b	a	ɛ	276	238	277	True	M08_N	M10_N
FR142	p	b	a	ɛ	276	238	277	False	M08_N	M10_N
FR143	p	b	i	a	278	232	279	True	M04_O	M10_N
FR144	p	b	i	a	278	232	279	False	M04_O	M10_N
FR145	b	s	i	a	232	285	230	True	M04_O	F06_N
FR146	b	s	i	a	232	285	230	False	M04_O	F06_N
FR147	b	s	a	ɛ	282	2326	228	True	F06_N	M01_O
FR148	b	s	a	ɛ	282	2326	228	False	F06_N	M01_O
FR149	b	s	e	a	236	2327	234	True	F06_O	M04_O
FR150	b	s	e	a	236	2327	234	False	F06_O	M04_O
FR151	s	b	i	a	285	232	286	True	M04_O	F01_N
FR152	s	b	i	a	285	232	286	False	M04_O	F01_N
FR153	s	b	a	ɛ	2326	282	284	True	F06_N	F02_N
FR154	s	b	a	ɛ	2326	282	284	False	F06_N	F02_N
FR155	s	b	e	a	2327	236	1796	True	F06_O	F02_N
FR156	s	b	e	a	2327	236	1796	False	F06_O	F02_N
FR157	b	z	e	ɔ	272	303	274	True	M07_N	M01_O
FR158	b	z	e	ɔ	272	303	274	False	M07_N	M01_O
FR159	b	z	a	ɛ	238	300	228	True	M08_N	M01_O
FR160	b	z	a	ɛ	238	300	228	False	M08_N	M01_O
FR161	b	z	i	ɛ	241	302	243	True	M10_O	F04_O
FR162	b	z	i	ɛ	241	302	243	False	M10_O	F04_O
FR163	z	b	e	ɔ	2459	274	303	True	M01_O	M07_N
FR164	z	b	e	ɔ	2459	274	303	False	M01_O	M07_N
FR165	z	b	a	ɛ	300	238	301	True	M08_N	F06_O
FR166	z	b	a	ɛ	300	238	301	False	M08_N	F06_O
FR167	z	b	i	ɛ	302	241	674	True	M10_O	M07_N
FR168	z	b	i	ɛ	302	241	674	False	M10_O	M07_N
FR169	b	ɡ	e	a	311	317	309	True	M10_N	F06_N
FR170	b	ɡ	e	a	311	317	309	False	M10_N	F06_N
FR171	b	ɡ	a	a	319	320	321	True	F06_N	F02_N
FR172	b	ɡ	a	a	319	320	321	False	F06_N	F02_N
FR173	b	ɡ	a	ɛ	282	315	228	True	F06_N	M01_O
FR174	b	ɡ	a	ɛ	282	315	228	False	F06_N	M01_O
FR175	ɡ	b	e	a	317	311	318	True	M10_N	F02_N
FR176	ɡ	b	e	a	317	311	318	False	M10_N	F02_N
FR177	ɡ	b	a	a	320	319	322	True	F06_N	F02_N
FR178	ɡ	b	a	a	320	319	322	False	F06_N	F02_N
FR179	ɡ	b	a	ɛ	315	282	1542	True	F06_N	F02_O
FR180	ɡ	b	a	ɛ	315	282	1542	False	F06_N	F02_O
FR181	b	ʃ	e	a	331	332	311	True	M04_O	M10_N
FR182	b	ʃ	e	a	331	332	311	False	M04_O	M10_N
FR183	b	ʃ	a	a	319	334	321	True	F06_N	F02_N
FR184	b	ʃ	a	a	319	334	321	False	F06_N	F02_N
FR185	b	ʃ	a	ɛ	282	329	228	True	F06_N	M01_O
FR186	b	ʃ	a	ɛ	282	329	228	False	F06_N	M01_O
FR187	ʃ	b	e	a	332	331	333	True	M04_O	F02_N
FR188	ʃ	b	e	a	332	331	333	False	M04_O	F02_N
FR189	ʃ	b	a	a	334	319	335	True	F06_N	M01_O
FR190	ʃ	b	a	a	334	319	335	False	F06_N	M01_O
FR191	ʃ	b	a	ɛ	1005	228	329	True	M01_O	F06_N
FR192	ʃ	b	a	ɛ	1005	228	329	False	M01_O	F06_N
FR193	b	ʒ	a	s	341	342	307	True	M04_O	M10_N
FR194	b	ʒ	a	s	341	342	307	False	M04_O	M10_N
FR195	b	ʒ	ɛ	a	338	339	236	True	M10_O	F06_O
FR196	b	ʒ	ɛ	a	338	339	236	False	M10_O	F06_O
FR197	b	ʒ	a	ɛ	228	336	282	True	M01_O	F06_N
FR198	b	ʒ	a	ɛ	228	336	282	False	M01_O	F06_N
FR199	ʒ	b	a	s	342	341	225	True	M04_O	F02_N
FR200	ʒ	b	a	s	342	341	225	False	M04_O	F02_N
FR201	ʒ	b	a	ɛ	336	228	337	True	M01_O	F02_N
FR202	ʒ	b	a	ɛ	336	228	337	False	M01_O	F02_N
FR203	ʒ	b	ɛ	a	339	338	340	True	M10_O	F01_O
FR204	ʒ	b	ɛ	a	339	338	340	False	M10_O	F01_O
FR205	d	l	i	u	2577	2781	2579	True	F06_N	F06_O
FR206	d	l	i	u	2577	2781	2579	False	F06_N	F06_O
FR207	d	l	e	i	2522	2521	2571	True	F01_N	M08_N
FR208	d	l	e	i	2522	2521	2571	False	F01_N	M08_N
FR209	d	l	i	ɛ	7	2853	5	True	M01_O	F02_N
FR210	d	l	i	ɛ	7	2853	5	False	M01_O	F02_N
FR211	l	d	i	u	2781	2577	2782	True	F06_N	F06_O
FR212	l	d	i	u	2781	2577	2782	False	F06_N	F06_O
FR213	l	d	e	i	2521	2522	2523	True	F01_N	M10_N
FR214	l	d	e	i	2521	2522	2523	False	F01_N	M10_N
FR215	l	d	i	ɛ	2853	7	382	True	M01_O	M04_O
FR216	l	d	i	ɛ	2853	7	382	False	M01_O	M04_O
FR217	d	m	t	e	2332	384	2328	True	F02_O	F02_N
FR218	d	m	t	e	2332	384	2328	False	F02_O	F02_N
FR219	d	m	a	ɛ	386	387	1799	True	F02_O	F06_O
FR220	d	m	a	ɛ	386	387	1799	False	F02_O	F06_O
FR221	d	m	i	ɛ	5	73	7	True	F02_N	M01_O
FR222	d	m	i	ɛ	5	73	7	False	F02_N	M01_O
FR223	m	d	t	e	384	2332	385	True	F02_O	M10_N
FR224	m	d	t	e	384	2332	385	False	F02_O	M10_N
FR225	m	d	a	ɛ	387	386	265	True	F02_O	F02_N
FR226	m	d	a	ɛ	387	386	265	False	F02_O	F02_N
FR227	m	d	i	ɛ	73	5	266	True	F02_N	M10_O
FR228	m	d	i	ɛ	73	5	266	False	F02_N	M10_O
FR229	d	n	i	u	2577	2578	2579	True	F06_N	F06_O
FR230	d	n	i	u	2577	2578	2579	False	F06_N	F06_O
FR231	d	n	a	ɛ	229	270	1799	True	F01_O	F06_O
FR232	d	n	a	ɛ	229	270	1799	False	F01_O	F06_O
FR233	d	n	i	ɛ	5	79	7	True	F02_N	M01_O
FR234	d	n	i	ɛ	5	79	7	False	F02_N	M01_O
FR235	n	d	i	u	2578	2577	2722	True	F06_N	M10_N
FR236	n	d	i	u	2578	2577	2722	False	F06_N	M10_N
FR237	n	d	a	ɛ	270	229	391	True	F01_O	F03_O
FR238	n	d	a	ɛ	270	229	391	False	F01_O	F03_O
FR239	n	d	i	ɛ	79	5	80	True	F02_N	M10_N
FR240	n	d	i	ɛ	79	5	80	False	F02_N	M10_N
FR241	d	p	i	a	396	397	233	True	M08_N	F02_N
FR242	d	p	i	a	396	397	233	False	M08_N	F02_N
FR243	d	p	e	i	2819	2818	2522	True	M04_O	F01_N
FR244	d	p	e	i	2819	2818	2522	False	M04_O	F01_N
FR245	d	p	a	ɛ	229	1155	1799	True	F01_O	F06_O
FR246	d	p	a	ɛ	229	1155	1799	False	F01_O	F06_O
FR247	p	d	i	a	397	396	279	True	M08_N	M10_N
FR248	p	d	i	a	397	396	279	False	M08_N	M10_N
FR249	p	d	e	i	2818	2819	2820	True	M04_O	F01_O
FR250	p	d	e	i	2818	2819	2820	False	M04_O	F01_O
FR251	p	d	a	ɛ	1155	229	392	True	F01_O	M04_O
FR252	p	d	a	ɛ	1155	229	392	False	F01_O	M04_O
FR253	d	t	i	u	2913	2914	2577	True	F02_O	F06_N
FR254	d	t	i	u	2913	2914	2577	False	F02_O	F06_N
FR255	d	t	e	i	2522	2684	2571	True	F01_N	M08_N
FR256	d	t	e	i	2522	2684	2571	False	F01_N	M08_N
FR257	d	t	i	ɛ	5	113	7	True	F02_N	M01_O
FR258	d	t	i	ɛ	5	113	7	False	F02_N	M01_O
FR259	t	d	i	u	2914	2913	2600	True	F02_O	F06_O
FR260	t	d	i	u	2914	2913	2600	False	F02_O	F06_O
FR261	t	d	e	i	2684	2522	2570	True	F01_N	M08_N
FR262	t	d	e	i	2684	2522	2570	False	F01_N	M08_N
FR263	t	d	i	ɛ	113	5	407	True	F02_N	M04_O
FR264	t	d	i	ɛ	113	5	407	False	F02_N	M04_O
FR265	d	v	i	a	412	413	233	True	F10_O	F02_N
FR266	d	v	i	a	412	413	233	False	F10_O	F02_N
FR267	d	v	i	ɛ	5	127	7	True	F02_N	M01_O
FR268	d	v	i	ɛ	5	127	7	False	F02_N	M01_O
FR269	d	v	a	ɛ	229	1161	1799	True	F01_O	F06_O
FR270	d	v	a	ɛ	229	1161	1799	False	F01_O	F06_O
FR271	v	d	i	a	413	412	299	True	F10_O	M10_N
FR272	v	d	i	a	413	412	299	False	F10_O	M10_N
FR273	v	d	a	ɛ	1161	229	295	True	F01_O	M08_N
FR274	v	d	a	ɛ	1161	229	295	False	F01_O	M08_N
FR275	v	d	i	ɛ	127	5	128	True	F02_N	M10_N
FR276	v	d	i	ɛ	127	5	128	False	F02_N	M10_N
FR277	d	ɡ	a	a	443	444	445	True	M07_O	M01_O
FR278	d	ɡ	a	a	443	444	445	False	M07_O	M01_O
FR279	d	ɡ	ɛ	ɛ	446	447	448	True	F05_N	M01_O
FR280	d	ɡ	ɛ	ɛ	446	447	448	False	F05_N	M01_O
FR281	d	ɡ	a	ɛ	386	1542	229	True	F02_O	F01_O
FR282	d	ɡ	a	ɛ	386	1542	229	False	F02_O	F01_O
FR283	ɡ	d	a	a	444	443	322	True	M07_O	F02_N
FR284	ɡ	d	a	a	444	443	322	False	M07_O	F02_N
FR285	ɡ	d	ɛ	ɛ	447	446	449	True	F05_N	F03_O
FR286	ɡ	d	ɛ	ɛ	447	446	449	False	F05_N	F03_O
FR287	ɡ	d	a	ɛ	1542	386	315	True	F02_O	F06_N
FR288	ɡ	d	a	ɛ	1542	386	315	False	F02_O	F06_N
FR289	d	ʁ	t	e	374	462	2328	True	M04_O	F02_N
FR290	d	ʁ	t	e	374	462	2328	False	M04_O	F02_N
FR291	d	ʁ	e	i	2522	2742	2571	True	F01_N	M08_N
FR292	d	ʁ	e	i	2522	2742	2571	False	F01_N	M08_N
FR293	d	ʁ	s	e	401	464	379	True	F01_O	F02_N
FR294	d	ʁ	s	e	401	464	379	False	F01_O	F02_N
FR295	ʁ	d	t	e	462	374	463	True	M04_O	M10_N
FR296	ʁ	d	t	e	462	374	463	False	M04_O	M10_N
FR297	ʁ	d	s	e	464	401	465	True	F01_O	M02_O
FR298	ʁ	d	s	e	464	401	465	False	F01_O	M02_O
FR299	ʁ	d	e	i	2742	2522	2901	True	F01_N	M10_O
FR300	ʁ	d	e	i	2742	2522	2901	False	F01_N	M10_O
FR301	e	k	a	t	498	55	499	True	F06_N	F02_N
FR302	e	k	a	t	498	55	499	False	F06_N	F02_N
FR303	e	k	t	a	481	258	500	True	F02_N	M01_O
FR304	e	k	t	a	481	258	500	False	F02_N	M01_O
FR305	e	k	s	d	1860	1861	576	True	M07_O	M10_N
FR306	e	k	s	d	1860	1861	576	False	M07_O	M10_N
FR307	k	e	a	t	55	498	57	True	F06_N	M10_N
FR308	k	e	a	t	55	498	57	False	F06_N	M10_N
FR309	k	e	t	a	258	481	501	True	F02_N	M07_N
FR310	k	e	t	a	258	481	501	False	F02_N	M07_N
FR311	k	e	s	d	1861	1860	717	True	M07_O	M10_N
FR312	k	e	s	d	1861	1860	717	False	M07_O	M10_N
FR313	e	o	d	s	522	88	486	True	M07_O	M10_N
FR314	e	o	d	s	522	88	486	False	M07_O	M10_N
FR315	e	o	s	k	523	524	525	True	M08_N	M10_N
FR316	e	o	s	k	523	524	525	False	M08_N	M10_N
FR317	e	o	d	f	527	528	529	True	F06_O	M10_N
FR318	e	o	d	f	527	528	529	False	F06_O	M10_N
FR319	o	e	d	s	88	522	89	True	M07_O	F03_O
FR320	o	e	d	s	88	522	89	False	M07_O	F03_O
FR321	o	e	s	k	524	523	526	True	M08_N	M10_N
FR322	o	e	s	k	524	523	526	False	M08_N	M10_N
FR323	o	e	d	f	528	527	530	True	F06_O	F03_O
FR324	o	e	d	f	528	527	530	False	F06_O	F03_O
FR325	e	s	a	t	536	537	499	True	F02_O	F02_N
FR326	e	s	a	t	536	537	499	False	F02_O	F02_N
FR327	e	s	t	a	509	1209	481	True	F01_O	F02_N
FR328	e	s	t	a	509	1209	481	False	F01_O	F02_N
FR329	e	s	t	p	2404	1750	1879	True	M10_N	F02_N
FR330	e	s	t	p	2404	1750	1879	False	M10_N	F02_N
FR331	s	e	a	t	537	536	103	True	F02_O	M10_N
FR332	s	e	a	t	537	536	103	False	F02_O	M10_N
FR333	s	e	t	a	1209	509	1210	True	F01_O	M04_O
FR334	s	e	t	a	1209	509	1210	False	F01_O	M04_O
FR335	s	e	t	p	1750	2404	743	True	M10_N	F02_O
FR336	s	e	t	p	1750	2404	743	False	M10_N	F02_O
FR337	e	u	d	s	542	543	486	True	M10_O	M10_N
FR338	e	u	d	s	542	543	486	False	M10_O	M10_N
FR339	e	u	t	p	1835	1887	2404	True	M04_O	M10_N
FR340	e	u	t	p	1835	1887	2404	False	M04_O	M10_N
FR341	e	u	s	f	1888	1889	1848	True	F05_N	M10_N
FR342	e	u	s	f	1888	1889	1848	False	F05_N	M10_N
FR343	u	e	d	s	543	542	544	True	M10_O	M01_O
FR344	u	e	d	s	543	542	544	False	M10_O	M01_O
FR345	u	e	t	p	1887	1835	1454	True	M04_O	F01_N
FR346	u	e	t	p	1887	1835	1454	False	M04_O	F01_N
FR347	u	e	s	f	1889	1888	1890	True	F05_N	F06_O
FR348	u	e	s	f	1889	1888	1890	False	F05_N	F06_O
FR349	e	ø	d	s	570	571	486	True	M07_N	M10_N
FR350	e	ø	d	s	570	571	486	False	M07_N	M10_N
FR351	e	ø	s	k	572	152	525	True	F01_O	M10_N
FR352	e	ø	s	k	572	152	525	False	F01_O	M10_N
FR353	e	ø	s	d	574	575	576	True	F06_N	M10_N
FR354	e	ø	s	d	574	575	576	False	F06_N	M10_N
FR355	ø	e	d	s	571	570	149	True	M07_N	M01_O
FR356	ø	e	d	s	571	570	149	False	M07_N	M01_O
FR357	ø	e	s	k	152	572	573	True	F01_O	M04_O
FR358	ø	e	s	k	152	572	573	False	F01_O	M04_O
FR359	ø	e	s	d	575	574	577	True	F06_N	M01_O
FR360	ø	e	s	d	575	574	577	False	F06_N	M01_O
FR361	e	ɑ̃	d	k	584	589	19	True	M08_N	M10_N
FR362	e	ɑ̃	d	k	584	589	19	False	M08_N	M10_N
FR363	e	ɑ̃	t	s	2941	2940	2764	True	M10_O	M08_N
FR364	e	ɑ̃	t	s	2941	2940	2764	False	M10_O	M08_N
FR365	e	ɑ̃	d	t	1909	2744	1842	True	F01_O	F02_N
FR366	e	ɑ̃	d	t	1909	2744	1842	False	F01_O	F02_N
FR367	ɑ̃	e	d	k	589	584	590	True	M08_N	F02_N
FR368	ɑ̃	e	d	k	589	584	590	False	M08_N	F02_N
FR369	ɑ̃	e	t	s	2940	2941	2665	True	M10_O	F01_N
FR370	ɑ̃	e	t	s	2940	2941	2665	False	M10_O	F01_N
FR371	ɑ̃	e	d	t	2744	1909	2294	True	F01_O	M10_N
FR372	ɑ̃	e	d	t	2744	1909	2294	False	F01_O	M10_N
FR373	e	ɛ̃	s	k	525	200	613	True	M10_N	F02_N
FR374	e	ɛ̃	s	k	525	200	613	False	M10_N	F02_N
FR375	e	ɛ̃	d	p	580	202	582	True	F01_O	M10_N
FR376	e	ɛ̃	d	p	580	202	582	False	F01_O	M10_N
FR377	e	ɛ̃	t	a	2344	616	481	True	M04_O	F02_N
FR378	e	ɛ̃	t	a	2344	616	481	False	M04_O	F02_N
FR379	ɛ̃	e	s	k	200	525	614	True	M10_N	F02_N
FR380	ɛ̃	e	s	k	200	525	614	False	M10_N	F02_N
FR381	ɛ̃	e	d	p	202	580	204	True	F01_O	M01_O
FR382	ɛ̃	e	d	p	202	580	204	False	F01_O	M01_O
FR383	ɛ̃	e	t	a	616	2344	617	True	M04_O	F03_O
FR384	ɛ̃	e	t	a	616	2344	617	False	M04_O	F03_O
FR385	j	f	a	i	630	629	632	True	M04_O	F02_N
FR386	j	f	a	i	630	629	632	False	M04_O	F02_N
FR387	j	f	a	ɛ	628	627	250	True	F02_O	F02_N
FR388	j	f	a	ɛ	628	627	250	False	F02_O	F02_N
FR389	j	f	i	ɛ	52	24	53	True	F02_N	M01_O
FR390	j	f	i	ɛ	52	24	53	False	F02_N	M01_O
FR391	f	m	a	i	638	639	631	True	F06_N	M10_N
FR392	f	m	a	i	638	639	631	False	F06_N	M10_N
FR393	f	m	i	ɛ	24	73	25	True	F02_N	F01_O
FR394	f	m	i	ɛ	24	73	25	False	F02_N	F01_O
FR395	f	m	a	ɛ	239	264	687	True	M08_N	F06_N
FR396	f	m	a	ɛ	239	264	687	False	M08_N	F06_N
FR397	m	f	a	i	639	638	640	True	F06_N	F02_N
FR398	m	f	a	i	639	638	640	False	F06_N	F02_N
FR399	m	f	a	ɛ	264	239	265	True	M08_N	F02_N
FR400	m	f	a	ɛ	264	239	265	False	M08_N	F02_N
FR401	m	f	i	ɛ	73	24	74	True	F02_N	M01_O
FR402	m	f	i	ɛ	73	24	74	False	F02_N	M01_O
FR403	f	n	a	i	638	641	631	True	F06_N	M10_N
FR404	f	n	a	i	638	641	631	False	F06_N	M10_N
FR405	f	n	i	ɛ	25	643	24	True	F01_O	F02_N
FR406	f	n	i	ɛ	25	643	24	False	F01_O	F02_N
FR407	f	n	a	ɛ	353	270	239	True	F01_O	M08_N
FR408	f	n	a	ɛ	353	270	239	False	F01_O	M08_N
FR409	n	f	a	i	641	638	642	True	F06_N	M10_N
FR410	n	f	a	i	641	638	642	False	F06_N	M10_N
FR411	n	f	i	ɛ	643	25	80	True	F01_O	M10_N
FR412	n	f	i	ɛ	643	25	80	False	F01_O	M10_N
FR413	n	f	a	ɛ	270	353	391	True	F01_O	F03_O
FR414	n	f	a	ɛ	270	353	391	False	F01_O	F03_O
FR415	f	s	e	i	2769	2770	2771	True	F03_O	M10_N
FR416	f	s	e	i	2769	2770	2771	False	F03_O	M10_N
FR417	f	s	a	ɛ	627	647	239	True	F02_O	M08_N
FR418	f	s	a	ɛ	627	647	239	False	F02_O	M08_N
FR419	f	s	i	ɛ	24	106	652	True	F02_N	F06_N
FR420	f	s	i	ɛ	24	106	652	False	F02_N	F06_N
FR421	s	f	e	i	2770	2769	2830	True	F03_O	M10_N
