index	TGT	OTH	prev_phone	next_phone	TGT_item	OTH_item	X_item
138	t	d	i	ɛ	113	5	407
139	d	v	i	a	412	413	233
140	d	v	i	ɛ	5	127	7
141	d	v	a	ɛ	229	1161	1799
142	v	d	i	a	413	412	299
143	v	d	a	ɛ	1161	229	295
144	v	d	i	ɛ	127	5	128
145	d	ɡ	a	a	443	444	445
146	d	ɡ	ɛ	ɛ	446	447	448
147	d	ɡ	a	ɛ	386	1542	229
148	ɡ	d	a	a	444	443	322
149	ɡ	d	ɛ	ɛ	447	446	449
150	ɡ	d	a	ɛ	1542	386	315
151	d	ʁ	t	e	374	462	2328
152	d	ʁ	e	i	2522	2742	2571
153	d	ʁ	s	e	401	464	379
154	ʁ	d	t	e	462	374	463
155	ʁ	d	s	e	464	401	465
156	ʁ	d	e	i	2742	2522	2901
157	e	k	a	t	498	55	499
158	e	k	t	a	481	258	500
159	e	k	s	d	1860	1861	576
160	k	e	a	t	55	498	57
161	k	e	t	a	258	481	501
162	k	e	s	d	1861	1860	717
163	e	o	d	s	522	88	486
164	e	o	s	k	523	524	525
165	e	o	d	f	527	528	529
166	o	e	d	s	88	522	89
167	o	e	s	k	524	523	526
168	o	e	d	f	528	527	530
169	e	s	a	t	536	537	499
170	e	s	t	a	509	1209	481
171	e	s	t	p	2404	1750	1879
172	s	e	a	t	537	536	103
173	s	e	t	a	1209	509	1210
174	s	e	t	p	1750	2404	743
175	e	u	d	s	542	543	486
176	e	u	t	p	1835	1887	2404
177	e	u	s	f	1888	1889	1848
178	u	e	d	s	543	542	544
179	u	e	t	p	1887	1835	1454
180	u	e	s	f	1889	1888	1890
181	e	ø	d	s	570	571	486
182	e	ø	s	k	572	152	525
183	e	ø	s	d	574	575	576
184	ø	e	d	s	571	570	149
185	ø	e	s	k	152	572	573
186	ø	e	s	d	575	574	577
187	e	ɑ̃	d	k	584	589	19
188	e	ɑ̃	t	s	2941	2940	2764
189	e	ɑ̃	d	t	1909	2744	1842
190	ɑ̃	e	d	k	589	584	590
191	ɑ̃	e	t	s	2940	2941	2665
192	ɑ̃	e	d	t	2744	1909	2294
199	e	ɛ̃	s	k	525	200	613
200	e	ɛ̃	d	p	580	202	582
201	e	ɛ̃	t	a	2344	616	481
202	ɛ̃	e	s	k	200	525	614
203	ɛ̃	e	d	p	202	580	204
204	ɛ̃	e	t	a	616	2344	617
205	j	f	a	i	630	629	632
206	j	f	a	ɛ	628	627	250
207	j	f	i	ɛ	52	24	53
208	f	m	a	i	638	639	631
209	f	m	i	ɛ	24	73	25
210	f	m	a	ɛ	239	264	687
211	m	f	a	i	639	638	640
212	m	f	a	ɛ	264	239	265
213	m	f	i	ɛ	73	24	74
214	f	n	a	i	638	641	631
215	f	n	i	ɛ	25	643	24
216	f	n	a	ɛ	353	270	239
217	n	f	a	i	641	638	642
218	n	f	i	ɛ	643	25	80
219	n	f	a	ɛ	270	353	391
220	f	s	e	i	2769	2770	2771
221	f	s	a	ɛ	627	647	239
222	f	s	i	ɛ	24	106	652
223	s	f	e	i	2770	2769	2830
224	s	f	a	ɛ	647	627	284
225	s	f	i	ɛ	107	25	106
226	f	t	k	a	478	650	476
227	f	t	a	ɛ	239	289	687
228	f	t	i	ɛ	24	113	652
229	t	f	k	a	650	478	651
230	t	f	i	ɛ	113	24	114
231	t	f	a	ɛ	1160	353	289
232	f	v	i	a	654	413	655
233	f	v	i	ɛ	652	2346	24
234	f	v	a	ɛ	239	295	687
235	v	f	i	a	413	654	299
236	v	f	a	ɛ	295	239	296
237	v	f	i	ɛ	2346	652	128
238	f	w	k	a	478	656	476
239	f	w	s	a	661	662	663
240	f	w	t	a	247	2787	245
241	w	f	k	a	656	478	550
242	w	f	s	a	662	661	664
243	w	f	t	a	2787	247	555
244	f	y	s	a	661	669	663
245	f	y	t	a	245	671	247
246	f	y	s	ɛ	665	666	2347
247	y	f	s	a	669	661	670
248	y	f	t	a	671	245	672
249	y	f	s	ɛ	666	665	2347
250	f	ɡ	e	a	688	689	659
251	f	ɡ	ɛ	ɛ	686	449	33
252	f	ɡ	a	ɛ	687	315	239
253	ɡ	f	e	a	689	688	317
254	ɡ	f	ɛ	ɛ	449	686	447
255	ɡ	f	a	ɛ	315	687	316
256	f	ʁ	k	a	478	690	476
257	f	ʁ	i	ɛ	673	692	24
258	f	ʁ	a	ɛ	633	1684	239
259	f	ʒ	a	a	696	697	698
260	f	ʒ	i	ɛ	673	474	24
261	f	ʒ	a	ɛ	353	471	239
262	ʒ	f	a	a	697	696	699
263	ʒ	f	a	ɛ	471	353	337
264	ʒ	f	i	ɛ	474	673	223
265	i	k	s	d	41	717	718
266	i	k	s	o	2621	2622	2623
268	k	i	s	d	717	41	719
269	k	i	s	o	2622	2621	2673
270	k	i	s	ɛ	961	2473	715
271	i	l	k	a	720	721	2336
272	i	l	k	d	722	723	724
273	i	l	p	d	726	727	728
274	l	i	k	a	721	720	506
275	l	i	k	d	723	722	725
276	l	i	p	d	727	726	729
277	i	o	d	s	730	89	37
278	i	o	s	k	731	524	45
279	i	o	k	p	732	733	734
280	o	i	d	s	89	730	88
281	o	i	s	k	524	731	526
282	o	i	k	p	733	732	735
283	i	p	k	a	487	531	2336
284	i	p	s	a	1832	2540	762
285	i	p	s	ɛ	366	739	2473
286	p	i	k	a	531	487	532
287	p	i	s	a	2540	1832	1289
288	p	i	s	ɛ	739	366	1288
289	i	s	t	p	740	1750	742
290	i	s	k	p	744	745	734
291	i	s	k	t	2907	2908	2549
292	s	i	t	p	1750	740	743
293	s	i	k	p	745	744	746
294	s	i	k	t	2908	2907	2624
295	i	t	k	a	751	650	2336
296	i	t	k	e	704	755	706
297	i	t	s	a	1832	1385	762
298	t	i	k	a	650	751	651
299	t	i	k	e	755	704	2168
300	t	i	s	a	1385	1832	1384
301	i	u	d	s	757	543	37
302	i	u	k	a	720	758	2336
303	i	u	k	p	744	760	734
304	u	i	d	s	543	757	544
305	u	i	k	a	758	720	759
306	u	i	k	p	760	744	118
307	i	y	s	d	765	766	41
308	i	y	d	s	2349	1530	730
309	i	y	f	s	2920	2921	2581
310	y	i	s	d	766	765	137
311	y	i	d	s	1530	2349	1509
312	y	i	f	s	2921	2920	2580
313	i	ø	d	s	767	571	37
314	i	ø	s	k	768	152	45
315	i	ø	s	d	769	575	41
316	ø	i	d	s	571	767	149
317	ø	i	s	k	152	768	573
318	ø	i	s	d	575	769	577
319	i	ɑ̃	d	s	37	166	775
320	i	ɑ̃	s	d	39	167	41
321	i	ɑ̃	f	s	2581	2536	2687
322	ɑ̃	i	d	s	166	37	776
323	ɑ̃	i	s	d	167	39	168
324	ɑ̃	i	f	s	2536	2581	2538
325	i	ɔ̃	s	d	783	600	41
326	i	ɔ̃	s	k	731	784	45
327	i	ɔ̃	f	s	2714	2715	2581
328	ɔ̃	i	s	d	600	783	182
329	ɔ̃	i	s	k	784	731	184
330	ɔ̃	i	f	s	2715	2714	2736
337	i	ɛ	s	d	39	195	41
338	i	ɛ	s	k	731	786	45
339	i	ɛ	f	s	2687	2688	2581
340	ɛ	i	s	d	195	39	196
341	ɛ	i	s	k	786	731	198
342	ɛ	i	f	s	2688	2687	2829
343	i	ɛ̃	s	k	45	200	768
344	i	ɛ̃	d	p	773	202	1820
345	i	ɛ̃	f	d	2670	2669	2712
346	ɛ̃	i	s	k	200	45	614
347	ɛ̃	i	d	p	202	773	204
348	ɛ̃	i	f	d	2669	2670	2671
349	i	ʁ	d	s	2349	2345	37
350	i	ʁ	k	a	487	691	2336
351	i	ʁ	d	p	773	790	1820
352	ʁ	i	k	a	691	487	690
353	ʁ	i	d	p	790	773	791
354	ʁ	i	d	s	1271	730	2345
355	j	k	a	a	2548	990	1965
356	j	k	a	ɛ	369	370	250
357	j	k	i	ɛ	52	58	53
358	k	j	a	a	990	2548	1984
359	k	j	a	ɛ	370	369	255
360	k	j	i	ɛ	58	52	948
361	j	l	a	a	2548	2982	1965
362	j	l	i	ɛ	797	2350	52
363	j	l	ɛ	a	1968	2613	253
364	l	j	a	a	2982	2548	1985
365	l	j	ɛ	a	2613	1968	2370
366	l	j	i	ɛ	2853	53	382
367	j	p	s	e	495	394	497
368	j	p	a	ɛ	369	392	250
369	j	p	i	ɛ	801	94	52
370	j	s	a	a	1965	1358	1966
371	j	s	a	i	632	1970	1971
372	j	s	i	ɛ	797	804	52
373	s	j	a	a	1358	1965	1359
374	s	j	a	i	1970	632	1364
375	s	j	i	ɛ	804	797	106
376	j	v	a	e	817	818	819
377	j	v	a	ɛ	369	410	250
378	j	v	i	ɛ	801	816	52
379	v	j	a	e	818	817	820
380	v	j	i	ɛ	816	801	128
381	v	j	a	ɛ	296	250	295
382	j	w	v	a	808	821	810
383	j	w	s	a	823	824	825
384	j	w	d	a	701	761	703
385	w	j	v	a	821	808	822
386	w	j	s	a	824	823	664
387	w	j	d	a	761	701	553
388	j	y	t	e	826	827	493
389	j	y	s	a	825	670	823
390	j	y	t	ɛ	50	138	51
391	y	j	t	e	827	826	416
392	y	j	s	a	670	825	669
393	y	j	t	ɛ	138	50	1915
394	j	ɲ	a	i	2358	459	632
395	j	ɲ	i	d	875	2335	1977
396	j	ɲ	a	d	877	878	2359
397	ɲ	j	a	i	459	2358	461
398	ɲ	j	i	d	2335	875	455
399	ɲ	j	a	d	878	877	880
400	ʃ	j	a	e	886	885	887
401	ʃ	j	i	ɛ	470	53	884
402	ʃ	j	a	ɛ	883	882	329
403	j	ʒ	a	a	1966	699	1965
404	j	ʒ	a	ɛ	250	337	830
405	j	ʒ	i	ɛ	801	1317	251
406	ʒ	j	a	a	699	1966	697
407	ʒ	j	a	ɛ	337	250	336
408	ʒ	j	i	ɛ	1317	801	1199
409	k	l	a	s	894	895	896
410	k	l	a	a	1984	1985	991
411	k	l	e	ɔ	2013	2014	954
412	l	k	a	s	895	894	897
413	l	k	a	a	1985	1984	1986
414	l	k	e	ɔ	2014	2013	2015
415	k	m	a	i	899	900	901
416	k	m	a	ɛ	898	387	255
417	k	m	i	ɛ	59	902	58
418	m	k	a	i	900	899	640
419	m	k	a	ɛ	387	898	265
420	m	k	i	ɛ	73	58	266
421	k	n	a	i	899	904	901
422	k	n	a	ɛ	903	270	255
423	k	n	i	ɛ	889	905	58
424	n	k	a	i	904	899	642
425	n	k	a	ɛ	270	903	391
426	n	k	i	ɛ	905	889	80
427	k	o	t	a	908	909	258
428	k	o	a	s	911	912	896
429	k	o	a	t	955	92	55
430	o	k	t	a	909	908	910
431	o	k	a	s	912	911	913
432	o	k	a	t	92	955	907
433	k	p	a	t	793	915	57
434	k	p	a	ɛ	255	277	634
435	k	p	i	ɛ	59	95	58
436	p	k	a	t	915	793	916
437	p	k	a	ɛ	277	255	914
438	p	k	i	ɛ	95	59	94
439	k	t	a	s	925	926	896
440	k	t	i	d	927	928	922
441	k	t	i	ɛ	889	924	58
442	t	k	a	s	926	925	2116
443	t	k	i	d	928	927	1767
444	t	k	i	ɛ	924	889	806
445	k	v	i	a	63	299	930
446	k	v	i	ɛ	889	816	58
447	k	v	a	ɛ	634	1484	254
448	v	k	i	a	299	63	931
449	v	k	i	ɛ	816	889	128
450	v	k	a	ɛ	1484	634	295
451	k	y	s	i	714	939	940
452	k	y	s	a	942	670	937
453	k	y	d	i	943	944	945
454	y	k	s	i	939	714	941
455	y	k	s	a	670	942	669
456	y	k	d	i	944	943	946
457	k	ɡ	a	a	990	320	991
458	k	ɡ	a	ɛ	370	316	255
459	k	ɡ	ɛ	ɛ	992	447	2025
460	ɡ	k	a	a	320	990	322
461	ɡ	k	a	ɛ	316	370	315
462	ɡ	k	ɛ	ɛ	447	992	449
463	k	ɲ	i	i	996	453	997
464	k	ɲ	i	d	999	1000	922
465	k	ɲ	a	i	2866	2867	899
466	ɲ	k	i	i	453	996	998
467	ɲ	k	i	d	1000	999	2335
468	ɲ	k	a	i	2867	2866	461
469	k	ʃ	a	t	955	213	57
470	k	ʃ	i	ɛ	948	884	58
471	k	ʃ	a	ɛ	634	1005	370
472	ʃ	k	a	t	213	955	214
473	ʃ	k	i	ɛ	884	948	470
474	ʃ	k	a	ɛ	1005	634	329
475	k	ʒ	a	t	1006	2247	57
476	k	ʒ	a	ɛ	903	471	255
477	k	ʒ	i	ɛ	889	1317	58
478	ʒ	k	a	t	2247	1006	220
479	ʒ	k	a	ɛ	471	903	337
480	ʒ	k	i	ɛ	1317	889	474
481	l	m	t	e	376	385	1008
482	l	m	a	s	897	1009	895
483	l	m	i	ɛ	2853	74	382
484	m	l	t	e	385	376	384
485	m	l	a	s	1009	897	1010
486	m	l	i	ɛ	74	2853	266
487	l	n	t	e	504	389	376
488	l	n	a	ɛ	1011	270	1086
489	l	n	i	ɛ	2360	905	382
490	n	l	t	e	389	504	390
491	n	l	a	ɛ	270	1011	391
492	n	l	i	ɛ	905	2360	80
493	l	o	b	d	2516	2517	1694
494	l	o	b	k	2519	2518	2801
495	l	o	ɛ	t	1016	1017	1018
496	l	p	a	a	2982	2981	1985
497	l	p	a	ɛ	1011	1155	1086
498	l	p	i	ɛ	2360	94	382
499	p	l	a	a	2981	2982	1309
500	p	l	a	ɛ	276	259	277
501	p	l	i	ɛ	94	2360	95
502	l	t	e	i	2521	2684	2523
503	l	t	a	a	2892	2906	1985
504	l	t	i	ɛ	382	407	2853
505	t	l	a	a	2906	2892	1412
506	t	l	e	i	2684	2521	2570
507	t	l	i	ɛ	407	382	114
508	l	v	i	a	263	299	1030
509	l	v	a	ɛ	259	295	1086
510	l	v	i	ɛ	2360	816	382
511	v	l	i	a	299	263	931
512	v	l	a	ɛ	295	259	296
513	v	l	i	ɛ	816	2360	128
514	l	y	t	e	1038	827	376
515	l	y	p	d	729	1039	1040
516	l	y	s	i	1042	1043	1044
517	y	l	t	e	827	1038	416
518	y	l	p	d	1039	729	1041
519	y	l	s	i	1043	1042	939
520	l	ɛ	i	d	1874	610	1081
521	l	ɛ	i	p	2695	1537	1702
522	l	ɛ	p	i	2822	2823	2931
523	ɛ	l	i	d	610	1874	612
524	ɛ	l	i	p	1537	2695	1538
525	ɛ	l	p	i	2823	2822	2313
526	l	ɡ	e	a	1087	689	1033
527	l	ɡ	i	a	1088	1089	263
529	ɡ	l	e	a	689	1087	317
530	ɡ	l	i	a	1089	1088	871
531	ɡ	l	a	ɛ	315	1086	316
532	l	ɲ	i	k	893	995	2096
533	l	ɲ	i	d	1092	2335	1081
534	l	ɲ	a	d	1093	878	1094
535	ɲ	l	i	k	995	893	1091
536	ɲ	l	i	d	2335	1092	455
537	ɲ	l	a	d	878	1093	880
538	l	ʁ	t	e	376	463	1008
539	l	ʁ	i	a	2566	2565	262
540	l	ʁ	i	ɛ	2360	2367	2853
541	ʁ	l	t	e	463	376	1095
542	ʁ	l	i	a	2565	2566	1481
543	ʁ	l	i	ɛ	2367	2360	208
544	l	ʃ	i	a	1030	1098	263
546	l	ʃ	i	ɛ	2853	470	2350
547	ʃ	l	i	a	1098	1030	1099
548	ʃ	l	a	ɛ	329	1086	467
549	ʃ	l	i	ɛ	470	2853	469
550	l	ʒ	a	a	2905	699	1985
551	l	ʒ	a	ɛ	1011	471	1086
552	l	ʒ	i	ɛ	382	222	2853
553	ʒ	l	a	a	699	2905	697
554	ʒ	l	a	ɛ	471	1011	337
555	ʒ	l	i	ɛ	222	382	1317
556	m	o	a	s	1010	913	1009
557	m	o	t	a	510	910	1131
558	m	o	a	k	2139	2808	2141
559	o	m	a	s	913	1010	912
560	o	m	t	a	910	510	1107
561	o	m	a	k	2808	2139	2809
562	m	s	t	e	384	1110	385
563	m	s	a	ɛ	387	647	265
564	m	s	i	ɛ	73	106	266
565	s	m	t	e	1110	384	400
566	s	m	a	ɛ	647	387	284
567	s	m	i	ɛ	106	73	404
568	m	v	i	a	268	299	1111
569	m	v	a	ɛ	264	295	265
570	m	v	i	ɛ	73	127	266
571	v	m	i	a	299	268	931
572	v	m	a	ɛ	295	264	296
573	v	m	i	ɛ	127	73	128
574	m	y	d	i	2492	2493	515
575	m	y	k	i	2761	2762	2763
576	m	y	t	ɛ	508	1112	72
577	y	m	d	i	2493	2492	944
578	y	m	k	i	2762	2761	1329
579	y	m	t	ɛ	1112	508	1915
580	m	ɡ	e	a	1137	689	1138
581	m	ɡ	i	a	1139	871	268
582	m	ɡ	a	ɛ	1136	315	265
583	ɡ	m	e	a	689	1137	317
584	ɡ	m	i	a	871	1139	873
585	ɡ	m	a	ɛ	315	1136	1542
586	m	ʁ	t	e	385	463	384
587	m	ʁ	a	s	1147	1148	1010
588	m	ʁ	i	ɛ	1103	2367	73
589	ʁ	m	t	e	463	385	1095
590	ʁ	m	a	s	1148	1147	1004
591	ʁ	m	i	ɛ	2367	1103	208
592	m	ʃ	i	a	1139	1098	268
593	m	ʃ	a	ɛ	1136	329	265
594	m	ʃ	i	ɛ	1149	469	73
595	ʃ	m	i	a	1098	1139	1099
596	ʃ	m	i	ɛ	469	1149	470
597	ʃ	m	a	ɛ	1005	1150	329
598	m	ʒ	i	a	1152	1153	268
599	m	ʒ	a	ɛ	265	337	1150
600	m	ʒ	i	ɛ	1103	1317	266
601	ʒ	m	i	a	1153	1152	1154
602	ʒ	m	a	ɛ	337	265	336
603	ʒ	m	i	ɛ	1317	1103	1199
604	n	p	a	e	2752	2751	1195
605	n	p	a	ɛ	270	1155	391
606	n	p	i	ɛ	643	95	80
607	p	n	a	e	2751	2752	2753
608	p	n	a	ɛ	1155	270	277
609	p	n	i	ɛ	95	643	94
610	n	v	i	a	1162	299	1163
611	n	v	a	ɛ	270	1161	391
612	n	v	i	ɛ	80	128	79
613	v	n	i	a	299	1162	931
614	v	n	i	ɛ	128	80	127
615	v	n	a	ɛ	1161	270	296
616	n	z	i	a	1164	143	1162
617	n	z	a	a	2686	2685	2144
618	n	z	i	ɛ	905	1291	80
619	z	n	i	a	143	1164	144
620	z	n	a	a	2685	2686	1543
621	z	n	i	ɛ	1291	905	302
622	n	ɡ	e	a	1185	1186	1187
623	n	ɡ	i	a	1188	871	1162
624	n	ɡ	a	ɛ	269	316	1799
625	ɡ	n	e	a	1186	1185	317
626	ɡ	n	i	a	871	1188	873
627	ɡ	n	a	ɛ	316	269	315
628	n	ɲ	i	i	1190	453	1191
629	n	ɲ	i	d	1169	2335	1171
630	n	ɲ	ɛ	d	2380	1146	1183
631	ɲ	n	i	i	453	1190	998
632	ɲ	n	i	d	2335	1169	455
633	ɲ	n	ɛ	d	1146	2380	1144
634	n	ʁ	t	e	390	1192	389
635	n	ʁ	i	k	1179	1193	1178
636	n	ʁ	i	ɛ	905	2367	80
637	ʁ	n	t	e	1192	390	463
638	ʁ	n	i	k	1193	1179	210
639	ʁ	n	i	ɛ	2367	905	1683
640	n	ʃ	a	e	1195	1196	1197
641	n	ʃ	a	a	2143	2576	2144
642	n	ʃ	i	ɛ	1194	469	80
643	ʃ	n	a	e	1196	1195	887
644	ʃ	n	a	a	2576	2143	334
645	ʃ	n	i	ɛ	469	1194	470
646	o	s	k	p	733	1207	735
647	o	s	t	a	910	1209	1107
648	o	s	a	t	907	2858	92
649	s	o	k	p	1207	733	746
650	s	o	t	a	1209	910	1210
651	s	o	a	t	2858	907	1350
652	o	u	k	p	735	1219	733
653	o	u	d	t	1737	1225	1226
654	o	u	s	s	1220	1221	2859
655	u	o	k	p	1219	735	118
656	u	o	s	s	1221	1220	1223
657	u	o	d	t	1225	1737	1227
658	o	y	d	s	88	1228	89
659	o	y	k	p	735	1229	733
660	o	y	s	k	526	559	1231
661	y	o	d	s	1228	88	135
662	y	o	s	k	559	526	558
663	y	o	k	p	1229	735	1327
664	o	ɑ̃	s	k	524	1249	526
665	o	ɑ̃	k	p	733	1251	735
666	o	ɑ̃	d	t	1737	2744	1226
667	ɑ̃	o	s	k	1249	524	1250
668	ɑ̃	o	k	p	1251	733	1252
669	ɑ̃	o	d	t	2744	1737	2294
670	o	ɔ	t	p	1253	1254	1255
671	o	ɔ	k	p	735	1257	733
672	o	ɔ	k	s	1258	598	1259
673	ɔ	o	t	p	1254	1253	1256
674	ɔ	o	k	s	598	1258	596
675	ɔ	o	k	p	1257	735	178
676	o	ɔ̃	k	p	733	1260	735
677	o	ɔ̃	s	k	524	784	526
678	o	ɔ̃	k	t	2745	2746	2747
679	ɔ̃	o	k	p	1260	733	1261
680	ɔ̃	o	s	k	784	524	184
681	ɔ̃	o	k	t	2746	2745	2776
688	o	ɛ̃	s	k	526	200	1231
689	o	ɛ̃	t	a	1268	616	910
690	o	ɛ̃	t	s	2643	2642	2821
691	ɛ̃	o	s	k	200	526	614
692	ɛ̃	o	t	a	616	1268	617
693	ɛ̃	o	t	s	2642	2643	2644
694	o	ʁ	d	s	89	1271	88
695	o	ʁ	t	a	910	1274	1107
696	o	ʁ	a	t	907	2860	92
697	ʁ	o	d	s	1271	89	2345
698	ʁ	o	t	a	1274	910	326
699	ʁ	o	a	t	2860	907	1272
700	p	s	a	a	2166	1358	1311
701	p	s	i	u	2887	2888	2701
702	p	s	i	ɛ	95	107	94
703	s	p	a	a	1358	2166	1359
704	s	p	i	u	2888	2887	2700
705	s	p	i	ɛ	917	94	106
706	t	p	s	e	1279	1021	406
707	t	p	i	ɛ	924	94	407
708	t	p	a	ɛ	289	276	2169
709	p	v	i	a	279	299	1281
710	p	v	i	ɛ	94	816	95
711	p	v	a	ɛ	914	296	392
712	v	p	i	a	299	279	931
713	v	p	i	ɛ	816	94	128
714	v	p	a	ɛ	296	914	295
715	p	w	k	a	531	549	532
716	p	w	t	a	281	1282	280
717	p	w	v	a	1283	1284	1285
718	w	p	k	a	549	531	550
719	w	p	t	a	1282	281	556
720	w	p	v	a	1284	1283	822
721	p	y	s	i	1286	1287	737
722	p	y	s	a	1289	669	1290
723	p	y	s	ɛ	1288	666	739
724	y	p	s	i	1287	1286	939
725	y	p	s	a	669	1289	670
726	y	p	s	ɛ	666	1288	2347
727	p	ʒ	a	a	2552	1671	1309
728	p	ʒ	a	ɛ	914	337	277
729	p	ʒ	i	ɛ	94	1317	95
730	ʒ	p	a	a	1671	2552	697
731	ʒ	p	a	ɛ	337	914	336
733	s	v	i	a	1324	1325	286
734	s	v	i	ɛ	404	411	106
735	s	v	a	ɛ	1323	410	284
736	v	s	i	a	1325	1324	299
737	v	s	a	ɛ	410	1323	296
738	v	s	i	ɛ	411	404	128
739	s	y	k	p	1326	1327	746
740	s	y	k	i	1328	1329	1330
741	s	y	t	ɛ	104	138	105
742	y	s	k	i	1329	1328	1331
743	y	s	k	p	1327	1326	1229
744	y	s	t	ɛ	138	104	1915
745	s	z	i	a	1324	1333	286
746	s	z	a	ɛ	1332	301	284
747	s	z	i	ɛ	917	1291	106
748	z	s	i	a	1333	1324	144
749	z	s	a	ɛ	301	1332	300
