index	#file	onset	offset	#phone	prev-phone	next-phone	speaker
555	6944	0.2225	0.6725	w	t	a	M08_N
556	5543	0.3825	0.7025	w	t	a	F02_N
570	7713	0.1725	0.5925	e	d	s	M07_N
571	10636	0.6125	0.8625	ø	d	s	M07_N
572	10851	0.7025	0.9425	e	s	k	F01_O
573	16113	0.6875	0.9375	ø	s	k	M04_O
574	16173	0.55250	0.81700	e	s	d	F06_N
575	7865	0.6225	0.8825	ø	s	d	F06_N
576	340	0.5625	0.7725	e	s	d	M10_N
577	10752	0.355	0.625	ø	s	d	M01_O
581	12701	0.3125	0.5525	œ̃	d	p	F01_O
582	4360	0.65250	0.87111	e	d	p	M10_N
583	15649	0.6925	0.9425	œ̃	d	p	M10_N
584	7624	0.4425	0.6825	e	d	k	M08_N
585	11428	0.54250	0.76628	œ̃	d	k	M08_N
586	13950	0.42000	0.62258	œ̃	d	k	F03_O
589	8911	0.28	0.56	ɑ̃	d	k	M08_N
590	9746	0.57750	0.74769	ɑ̃	d	k	F02_N
591	6489	0.57250	0.79334	e	d	s	M02_O
593	17546	0.365	0.775	ɔ	d	s	M01_O
594	679	0.4975	0.7175	e	s	k	F10_O
595	2554	0.36250	0.58031	e	k	s	F01_O
596	6200	0.3725	0.5825	ɔ	k	s	F01_O
597	486	0.45750	0.69020	e	k	s	F06_O
598	17478	0.565	0.795	ɔ	k	s	F03_O
485	890	0.4875	0.7475	e	d	s	M08_N
613	12278	0.39250	0.59045	e	s	k	F02_N
614	17354	0.5175	0.7975	ɛ̃	s	k	F02_N
2344	11060	0.445	0.715	e	t	a	M04_O
616	18293	0.6275	0.8575	ɛ̃	t	a	M04_O
617	9375	0.39500	0.65132	ɛ̃	t	a	F03_O
627	9349	0.32250	0.55157	f	a	ɛ	F02_O
628	2944	0.4425	0.6825	j	a	ɛ	F02_O
629	13911	0.4525	0.7225	f	a	i	M04_O
631	9128	0.5425	0.8025	f	a	i	M10_N
632	16067	0.725	0.925	j	a	i	F02_N
633	16712	0.5675	0.7875	f	a	ɛ	F02_N
634	18020	0.475	0.675	k	a	ɛ	M01_O
635	233	0.6075	0.7975	f	ɛ	ɔ	M02_O
636	11249	0.4125	0.6725	k	ɛ	ɔ	M02_O
476	15718	0.6225	0.9325	f	k	a	M10_O
637	3576	0.5025	0.6725	l	k	a	M10_O
2418	1816	0.69	0.93	l	i	ɛ	F02_N
638	10326	0.3925	0.7025	f	a	i	F06_N
639	18404	0.3225	0.6925	m	a	i	F06_N
74	12836	0.40000	0.84067	m	i	ɛ	M01_O
641	16628	0.4425	0.7425	n	a	i	F06_N
642	2671	0.5725	0.8325	n	a	i	M10_N
94	18585	0.28500	0.56509	p	i	ɛ	F02_O
644	1531	0.6	0.89	f	ɛ	ɔ	M07_N
646	736	0.6525	0.8025	p	ɛ	ɔ	F06_O
647	11278	0.495	0.765	s	a	ɛ	F02_O
107	10116	0.6025	0.8125	s	i	ɛ	F01_O
106	17306	0.5675	0.7275	s	i	ɛ	F02_N
650	16656	0.4625	0.7125	t	k	a	F06_N
651	18543	0.5825	0.8625	t	k	a	M10_N
114	18168	0.365	0.645	t	i	ɛ	M01_O
652	286	0.7325	0.9225	f	i	ɛ	F06_N
2346	20361	0.3225	0.6725	v	i	ɛ	F06_N
654	9500	0.64	0.88	f	i	a	F10_O
655	12731	0.5025	0.7625	f	i	a	M10_N
656	4121	0.5925	0.7725	w	k	a	F06_N
662	15350	0.4225	0.6525	w	s	a	F01_O
663	1751	0.3425	0.5525	f	s	a	F06_N
664	11571	0.2025	0.5525	w	s	a	M10_N
665	16251	0.4425	0.6425	f	s	ɛ	F02_N
667	1020	0.3225	0.5625	f	s	ɛ	F01_O
2347	1560	0.3875	0.6775	y	s	ɛ	F01_N
669	5636	0.51250	0.67250	y	s	a	F01_O
671	7936	0.6475	0.8275	y	t	a	F06_O
672	9356	0.59	0.79	y	t	a	F03_O
673	1137	0.3925	0.5525	f	i	ɛ	M07_N
686	7547	0.4825	0.7225	f	ɛ	ɛ	F03_O
33	6901	0.4475	0.7375	f	ɛ	ɛ	F02_N
687	3807	0.44843	0.58707	f	a	ɛ	F06_N
688	3025	0.4125	0.7025	f	e	a	M08_N
689	8931	0.3325	0.5625	ɡ	e	a	M08_N
659	10889	0.7	0.88	f	e	a	F02_N
690	17123	0.5625	0.7925	ʁ	k	a	F06_N
692	777	0.7125	0.9025	ʁ	i	ɛ	M07_N
657	12464	0.3525	0.6225	f	e	a	F02_O
693	11763	0.6225	0.8425	ʃ	e	a	F02_O
694	17782	0.4425	0.9225	f	e	ɛ	M08_N
695	1232	0.2925	0.6125	ʃ	e	ɛ	M08_N
29	12727	0.3925	0.8425	f	e	ɛ	M10_N
216	2560	0.5925	0.8825	ʃ	e	ɛ	F01_O
696	12443	0.42645	0.60736	f	a	a	F01_O
697	2320	0.5325	0.8025	ʒ	a	a	F01_O
698	14385	0.21250	0.50254	f	a	a	M01_O
699	1569	0.3525	0.6625	ʒ	a	a	M01_O
717	14555	0.3625	0.6225	k	s	d	M10_N
718	12800	0.4525	0.6925	i	s	d	F02_N
719	14303	0.5725	0.8825	k	s	d	M01_O
720	963	0.2575	0.6075	i	k	a	F06_O
721	13683	0.68	0.85	l	k	a	F06_O
2336	18481	0.4625	0.6325	i	k	a	M01_O
722	12984	0.6375	0.8275	i	k	d	F01_N
723	6931	0.625	0.845	l	k	d	F01_N
724	12518	0.3625	0.6325	i	k	d	M10_N
725	2619	0.5025	0.7225	l	k	d	F06_O
726	12446	0.1625	0.5925	i	p	d	F05_N
727	11357	0.60250	0.79672	l	p	d	F05_N
728	8340	0.3875	0.5975	i	p	d	F02_N
729	19120	0.5425	0.7125	l	p	d	F06_N
37	3612	0.4925	0.7325	i	d	s	M10_N
732	17436	0.52	0.73	i	k	p	M04_O
733	15711	0.43750	0.58876	o	k	p	M04_O
734	20328	0.665	0.855	i	k	p	F02_N
487	706	0.3325	0.5525	i	k	a	F01_O
1750	13565	0.7325	0.9225	s	t	p	M10_N
742	4680	0.5925	0.7825	i	t	p	F06_N
743	4583	0.56500	0.72909	s	t	p	F02_O
744	15449	0.6025	0.9025	i	k	p	M07_N
751	11672	0.5225	0.8225	i	k	a	F06_N
755	1604	0.6525	0.8225	t	k	e	M04_O
706	5050	0.4775	0.6475	i	k	e	F06_O
759	10763	0.4025	0.6125	u	k	a	M08_N
760	300	0.4575	0.7575	u	k	p	M07_N
762	11499	0.4575	0.7775	i	s	a	M08_N
763	3474	0.5725	0.9025	w	s	a	M08_N
764	16220	0.6275	0.8375	i	s	a	F02_N
765	7562	0.39	0.55	i	s	d	M04_O
766	17908	0.605	0.845	y	s	d	M04_O
768	10334	0.3725	0.6725	i	s	k	F01_O
769	676	0.3725	0.6825	i	s	d	F06_N
770	14462	0.65750	0.84575	i	k	p	F10_O
771	8418	0.41124	0.63250	œ̃	k	p	F10_O
772	3839	0.42	0.63	i	k	s	M07_N
749	16839	0.4425	0.6425	i	k	s	M10_N
773	3117	0.4725	0.7525	i	d	p	F01_O
775	3767	0.3575	0.5675	i	d	s	F02_N
776	16004	0.605	0.835	ɑ̃	d	s	F02_N
779	13624	0.5275	0.7375	i	d	s	M02_O
780	299	0.5225	0.7625	ɔ	k	p	M07_N
2348	10407	0.58	0.85	i	s	k	F10_O
783	17713	0.3625	0.6225	i	s	d	F02_O
600	16398	0.6025	0.8425	ɔ̃	s	d	F02_O
784	16358	0.3525	0.6325	ɔ̃	s	k	M08_N
786	12274	0.6325	0.8925	ɛ	s	k	M08_N
2349	105	0.7025	0.9225	i	d	s	F01_O
2345	16722	0.33250	0.56002	ʁ	d	s	F01_O
791	16811	0.51	0.75	ʁ	d	p	F03_O
797	18313	0.54250	0.75783	j	i	ɛ	M08_N
2350	12723	0.62	0.86	l	i	ɛ	M08_N
799	19073	0.4025	0.5825	j	t	ɛ	F10_O
492	11591	0.5125	0.7225	j	t	e	F01_O
389	8336	0.4025	0.6125	n	t	e	F01_O
390	4302	0.6325	0.7525	n	t	e	M07_N
800	10169	0.435	0.655	j	t	ɛ	F06_O
517	17798	0.68	0.89	n	t	ɛ	F06_O
516	365	0.4125	0.8025	n	t	ɛ	M01_O
495	14302	0.3175	0.5675	j	s	e	F02_O
394	17318	0.52500	0.74600	p	s	e	F02_O
497	11368	0.4725	0.6925	j	s	e	F02_N
395	422	0.5125	0.7725	p	s	e	M10_N
801	19070	0.4325	0.6625	j	i	ɛ	F02_O
804	13211	0.7425	0.9425	s	i	ɛ	M08_N
796	17148	0.5225	0.8525	j	s	e	M08_N
406	16822	0.595	0.825	t	s	e	F02_N
806	3182	0.4125	0.6925	t	i	ɛ	M08_N
816	5532	0.40250	0.57355	v	i	ɛ	F02_O
817	1102	0.5125	0.6625	j	a	e	F02_N
818	11461	0.7525	0.8925	v	a	e	F02_N
819	19691	0.3725	0.6025	j	a	e	M01_O
820	18296	0.355	0.625	v	a	e	M01_O
808	20464	0.3825	0.6225	j	v	a	F01_O
810	4724	0.735	0.925	j	v	a	F03_O
822	4155	0.6625	0.9425	w	v	a	M10_N
824	7673	0.735	0.885	w	s	a	F02_N
825	20631	0.3225	0.6025	j	s	a	F06_N
701	15017	0.5625	0.7625	j	d	a	M08_N
761	5323	0.7625	0.9125	w	d	a	M08_N
553	19479	0.355	0.585	w	d	a	M01_O
826	2393	0.3925	0.8525	j	t	e	M07_O
827	3226	0.4925	0.9425	y	t	e	M07_O
416	14521	0.245	0.595	y	t	e	F03_O
138	14306	0.4525	0.6725	y	t	ɛ	F06_N
1915	2568	0.4125	0.6225	y	t	ɛ	M10_N
865	19636	0.68	0.91	j	s	e	M07_N
441	13422	0.2025	0.7225	ɛ	s	e	M07_N
442	16959	0.56	0.92	ɛ	s	e	F01_N
868	6896	0.4525	0.6625	j	ɛ	ɛ	F05_N
869	15977	0.685	0.915	j	ɛ	ɛ	F01_N
2358	8534	0.3075	0.5975	j	a	i	F10_O
459	16001	0.5675	0.7975	ɲ	a	i	F10_O
2335	17155	0.4275	0.7175	ɲ	i	d	M08_N
455	19631	0.3225	0.6525	ɲ	i	d	F01_N
877	2250	0.4725	0.7225	j	a	d	F06_N
878	13431	0.6125	0.8925	ɲ	a	d	F06_N
2359	4288	0.58	0.74	j	a	d	F02_N
880	1532	0.3075	0.5575	ɲ	a	d	M08_N
807	10967	0.4825	0.6625	j	t	e	M08_N
881	7595	0.5225	0.6725	ʁ	t	e	M08_N
803	13688	0.5125	0.7825	j	s	e	F01_O
882	2370	0.5525	0.7825	j	a	ɛ	F05_N
883	19787	0.2625	0.6025	ʃ	a	ɛ	F05_N
884	6554	0.51500	0.72909	ʃ	i	ɛ	F06_O
885	20060	0.445	0.705	j	a	e	M04_O
887	14154	0.315	0.655	ʃ	a	e	F02_N
830	10787	0.52	0.73	j	a	ɛ	F06_O
888	11440	0.3	0.65	j	i	ɛ	M02_O
222	1167	0.47	0.73	ʒ	i	ɛ	M02_O
894	1751	0.4825	0.7125	k	a	s	F06_N
895	7771	0.6125	0.9325	l	a	s	F06_N
896	19967	0.47250	0.67330	k	a	s	F02_N
897	5059	0.425	0.695	l	a	s	F01_N
898	12834	0.51	0.69	k	a	ɛ	F02_O
899	18757	0.3625	0.6625	k	a	i	M08_N
900	18047	0.32	0.6	m	a	i	M08_N
901	19962	0.6075	0.8575	k	a	i	F02_N
902	13310	0.6025	0.7725	m	i	ɛ	F01_O
903	17853	0.4125	0.5525	k	a	ɛ	F01_O
904	20038	0.7225	0.9125	n	a	i	M08_N
889	15452	0.445	0.865	k	i	ɛ	F02_O
905	10500	0.5175	0.8775	n	i	ɛ	F02_O
908	7432	0.2925	0.5625	k	t	a	M02_O
909	2848	0.3825	0.5925	o	t	a	M02_O
910	9083	0.6125	0.8525	o	t	a	F01_O
911	5197	0.3825	0.5925	k	a	s	M08_N
912	15938	0.53635	0.77250	o	a	s	M08_N
913	20032	0.515	0.775	o	a	s	F06_O
793	8595	0.255	0.595	k	a	t	M02_O
924	4792	0.38250	0.68851	t	i	ɛ	F02_O
926	16989	0.54	0.95	t	a	s	M04_O
927	14713	0.3325	0.6525	k	i	d	F06_N
928	5344	0.7025	0.9325	t	i	d	F06_N
922	8586	0.6625	0.8925	k	i	d	M10_N
930	10678	0.7075	0.9375	k	i	a	F02_N
714	1843	0.6725	0.9425	k	s	i	M10_N
939	19247	0.6225	0.9425	y	s	i	M10_N
940	3358	0.4975	0.6675	k	s	i	F02_N
941	1225	0.47750	0.60736	y	s	i	F02_N
942	3150	0.4025	0.7225	k	s	a	F06_N
937	7786	0.505	0.755	k	s	a	F02_N
944	2192	0.6525	0.8325	y	d	i	F01_O
946	2829	0.45250	0.68851	y	d	i	M10_N
947	12803	0.395	0.725	z	a	ɛ	F02_O
948	14484	0.665	0.785	k	i	ɛ	F06_O
949	12945	0.63750	0.81700	z	i	ɛ	F06_O
990	3415	0.4625	0.7525	k	a	a	F06_N
991	1823	0.5025	0.6925	k	a	a	M10_N
992	20722	0.5925	0.7625	k	ɛ	ɛ	F05_N
996	20530	0.7625	0.9425	k	i	i	M10_N
997	15292	0.5225	0.7025	k	i	i	M01_O
998	2408	0.505	0.765	ɲ	i	i	F06_O
999	9088	0.54	0.76	k	i	d	M07_N
1000	17790	0.6	0.82	ɲ	i	d	M07_N
1004	9283	0.37250	0.55664	ʁ	a	s	M10_N
955	11738	0.445	0.645	k	a	t	F03_O
2247	17992	0.385	0.865	ʒ	a	t	F10_O
1007	8127	0.7125	0.9125	k	i	ɛ	M02_O
376	13696	0.5425	0.7925	l	t	e	M10_N
1009	6557	0.6675	0.9375	m	a	s	F01_N
1010	12261	0.43	0.74	m	a	s	F06_O
504	1143	0.5725	0.7225	l	t	e	F01_O
1011	2431	0.60250	0.80686	l	a	ɛ	F01_O
1016	7076	0.2575	0.6775	l	ɛ	t	F01_N
1017	4587	0.6925	0.9425	o	ɛ	t	F01_N
1018	4697	0.57	0.81	l	ɛ	t	M01_O
