index	TGT	OTH	prev_phone	next_phone	TGT_item	OTH_item	X_item
62	tʃ	f	ɪ	ð	2163	2441	2105
63	tʃ	f	ɪ	p	3045	3046	3047
64	f	tʃ	ɪ	p	3046	3045	3270
65	tʃ	k	z	ɑ	2109	2139	2111
66	tʃ	k	æ	t	2101	3049	3037
67	k	tʃ	æ	t	3049	2101	2721
68	tʃ	m	ɪ	p	3045	3486	3047
69	tʃ	m	ɪ	s	819	864	821
70	m	tʃ	ɪ	p	3486	3045	3484
71	m	tʃ	ɪ	s	864	819	865
72	tʃ	n	ɪ	f	3040	3057	2135
73	tʃ	n	z	ɑ	3061	3319	2109
74	tʃ	n	ɪ	s	819	869	821
75	n	tʃ	ɪ	f	3057	3040	3507
76	n	tʃ	z	ɑ	3319	3061	2843
77	n	tʃ	ɪ	s	869	819	2698
78	tʃ	ŋ	ɪ	s	821	872	819
79	ŋ	tʃ	ɪ	s	872	821	1516
80	tʃ	z	ɪ	ð	2163	3555	2105
81	tʃ	z	ɪ	b	2119	2531	2117
82	tʃ	z	ɪ	ɑ	2151	2203	2153
83	z	tʃ	ɪ	ð	3555	2163	3556
84	z	tʃ	ɪ	b	2531	2119	2530
85	z	tʃ	ɪ	ɑ	2203	2151	2204
86	d	f	æ	t	2104	2460	2102
87	f	d	æ	t	2460	2104	2462
88	f	d	v	ɪ	1315	938	1313
89	f	d	z	ɑ	2221	2110	2222
90	d	k	z	ɑ	2110	2139	2112
91	k	d	z	ɑ	2139	2110	2140
92	d	l	z	ɛ	925	1598	2285
93	d	m	z	ʌ	2238	2675	2240
94	d	m	ɪ	s	984	985	975
95	d	m	z	ɛ	927	1639	2285
96	m	d	ɪ	s	985	984	864
97	m	d	z	ɛ	1639	927	1637
98	d	n	æ	s	1977	2044	2972
99	d	n	ɪ	ð	2108	4002	2106
100	d	n	ɪ	s	975	987	977
101	n	d	ɪ	ð	4002	2108	4003
102	n	d	ɪ	s	987	975	2698
103	d	p	z	ɑ	2271	2272	2110
104	d	p	ɪ	s	984	1673	975
105	d	t	ʊ	s	3924	3925	3926
106	t	d	æ	s	2068	1977	2067
107	t	d	æ	ð	3922	3110	3604
108	d	v	æ	ð	3147	3148	3110
109	d	v	z	ɪ	2302	2086	2296
110	d	v	z	ɛ	925	1080	2285
111	v	d	z	ɪ	2086	2302	2085
112	v	d	z	ɛ	1080	925	786
113	d	w	z	ɪ	2296	2920	2302
114	d	w	v	ʌ	3150	3714	3152
115	w	d	v	ʌ	3714	3150	2930
116	d	z	ɪ	ð	2108	3556	2106
117	d	z	v	ɪ	1983	2587	936
118	d	z	ɪ	s	984	2309	975
119	z	d	ɪ	ð	3556	2108	3555
120	z	d	ɪ	s	2309	984	2205
121	ð	n	t	ʌ	451	514	449
122	ð	n	z	ɛ	3175	2045	926
123	n	ð	z	ɛ	2045	3175	1373
124	ɛ	eɪ	t	k	326	1092	327
125	ɛ	eɪ	s	t	1087	1090	1098
126	ɛ	eɪ	s	k	571	173	155
127	ɛ	oʊ	b	t	1099	287	252
128	ɛ	oʊ	s	t	1098	194	1087
129	ɛ	oʊ	s	k	571	1100	155
130	oʊ	ɛ	b	t	287	1099	286
131	oʊ	ɛ	s	t	194	1098	195
132	eɪ	ɪ	t	k	2400	2589	76
133	eɪ	ɪ	s	k	173	581	172
134	ɪ	eɪ	t	k	2589	2400	273
135	ɪ	eɪ	s	k	581	173	2588
136	i	eɪ	ʃ	k	86	73	87
137	eɪ	oʊ	s	k	173	1100	172
138	oʊ	eɪ	s	f	3236	3235	350
139	oʊ	eɪ	d	z	191	1249	192
140	oʊ	eɪ	s	k	1100	173	522
141	s	eɪ	k	p	1892	1871	1893
142	eɪ	s	t	k	2406	199	76
143	f	k	ɪ	t	2443	2724	2318
144	f	k	z	ɑ	2221	2139	2222
145	k	f	ɪ	t	2724	2443	2722
146	l	f	ɪ	t	2771	2320	2772
147	n	f	z	ɛ	1373	674	2045
148	s	f	ɪ	t	4451	2318	2853
149	s	f	æ	t	2186	2460	2892
150	f	z	ɪ	h	2316	2927	3157
151	z	f	ɪ	h	2927	2316	2376
152	h	m	s	ɪ	1360	983	688
153	h	m	v	ɪ	3880	2996	2019
154	h	m	d	ɪ	1238	1150	2481
155	m	h	s	ɪ	983	1360	1329
156	h	p	v	ɛ	3321	2556	3322
157	h	p	d	ɑ	3769	3770	3771
158	h	p	z	ɑ	2416	2554	2415
159	p	h	z	ɑ	2554	2416	2272
160	ɪ	oʊ	s	k	581	1100	2588
161	oʊ	ɪ	s	k	1100	581	522
162	s	ɪ	t	k	352	336	105
163	ɪ	s	p	t	2595	1422	79
164	ɪ	t	k	s	1875	1896	1876
165	ɪ	t	s	k	1093	540	2588
166	t	ɪ	s	f	110	3349	298
167	t	ɪ	k	s	1896	1875	1897
168	ɪ	ʊ	f	t	580	544	174
169	ɪ	ʊ	p	t	2595	1204	79
170	ʊ	ɪ	f	t	544	580	208
171	ɪ	u	t	k	1955	215	2589
172	oʊ	i	ð	z	3793	3792	3795
173	oʊ	i	h	p	2617	2616	1927
174	i	ʊ	b	k	2644	1935	1921
175	i	ʊ	h	d	3633	1206	387
176	ʊ	i	b	k	1935	2644	1936
177	p	k	æ	s	3566	3430	2046
178	k	w	d	ʌ	3652	3433	2986
179	w	k	d	ʌ	3433	3652	4048
180	z	k	ɪ	s	2926	1548	2205
181	l	n	ɪ	t	2771	2833	2772
182	l	n	ɪ	s	862	870	861
183	n	l	ɪ	t	2833	2771	2834
184	ŋ	l	ɪ	z	3819	3298	3451
185	l	t	ɪ	s	861	904	862
186	v	l	z	ɛ	1080	1598	786
187	l	z	ɪ	h	2758	2376	2756
188	l	z	ɪ	s	861	2205	862
189	z	l	ɪ	h	2376	2758	2378
190	z	l	ɪ	s	2205	861	2309
191	m	n	ɪ	t	3491	2833	3827
192	m	n	ɪ	s	865	870	864
193	m	ŋ	ɪ	z	3482	3451	3483
194	ŋ	m	ɪ	z	3451	3482	3487
195	ŋ	m	ɪ	s	1516	1606	872
196	m	v	ʌ	t	2801	3677	3490
197	m	v	ɪ	s	1635	1018	864
198	m	z	ɪ	h	3818	3950	3754
199	z	m	ɪ	h	3950	3818	2376
200	n	p	æ	s	2044	2047	2042
201	n	p	z	ɑ	3319	2554	2843
202	p	n	æ	s	2047	2044	2046
203	p	n	ɪ	s	879	869	1673
204	n	t	æ	s	2042	2067	2044
205	t	n	æ	s	2067	2042	2068
206	t	n	ɪ	h	4068	4029	3946
207	ŋ	z	ɪ	ð	2164	3555	2165
208	z	ŋ	ɪ	ð	3555	2164	3556
209	z	ŋ	ɪ	b	3553	3552	2530
210	oʊ	s	b	t	287	1701	286
211	s	oʊ	b	t	1701	287	290
212	s	oʊ	t	d	1704	605	1705
213	oʊ	t	s	k	521	540	522
214	oʊ	t	s	ð	289	296	288
215	t	oʊ	s	b	2864	2863	1970
216	s	ʊ	t	k	106	2896	105
217	s	ʊ	p	t	1759	1760	101
218	ʊ	s	t	k	2896	106	119
219	ʊ	s	p	t	1760	1759	114
220	æ	t	k	s	1904	1897	1912
221	t	ɹ	ɑ	f	4171	4167	4166
222	t	ɹ	ɑ	dʒ	4043	4042	4045
223	ʌ	i	k	p	1949	1959	128
224	b	h	z	ɪ	4210	4211	2078
225	h	b	z	ɪ	4211	4210	2580
226	ɹ	b	s	æ	2627	3012	2626
227	tʃ	p	ɪ	s	819	879	821
228	p	tʃ	æ	t	4425	2101	3865
229	tʃ	s	æ	t	2101	2185	3037
230	s	tʃ	æ	t	2185	2101	2892
231	h	d	z	ɪ	2580	4253	4211
232	u	ɛ	s	p	4304	4303	4306
233	f	p	ɛ	t	3247	3454	3091
234	p	f	ɛ	t	3454	3247	3123
235	f	v	ɪ	t	3286	4450	2318
236	v	f	ɪ	t	4450	3286	2905
237	v	f	z	ɪ	2086	4209	2085
238	ŋ	t	ɪ	s	872	3945	1516
239	p	t	ɪ	s	879	904	1673
240	p	t	æ	s	2047	2068	2046
241	t	p	ɑ	s	4368	4436	4366
242	t	p	æ	s	2068	2047	2067
243	v	p	æ	s	4036	4035	2736
244	n	ɡ	ɪ	z	3836	4528	3837
245	n	ɡ	ɪ	f	4325	2134	3507
246	n	ɡ	ɛ	z	4328	4327	4329
247	k	t	ɑ	s	4365	4366	4367
248	t	k	ɑ	s	4366	4365	4368
249	t	k	ɪ	s	2731	1548	904
250	m	s	ʌ	b	4564	3590	3829
251	s	m	ʌ	t	4245	3490	2891
252	m	ʃ	ʌ	b	4564	3522	3829
253	ɑ	ɪ	k	s	1850	1875	1852
254	ɪ	ɑ	k	s	1875	1850	1876
255	b	t	ʌ	dʒ	2071	2072	2073
256	b	t	æ	s	1976	2067	2043
257	t	b	æ	s	2067	1976	2068
258	b	w	z	ʌ	4666	4669	4637
259	tʃ	l	ɪ	b	2119	4682	2117
260	l	tʃ	ɪ	b	4682	2119	4683
261	l	tʃ	ɪ	s	861	819	862
262	ð	h	v	ɛ	4728	3333	2341
263	ð	ɹ	p	ɛ	4794	4795	4797
264	ɛ	i	s	v	4856	4858	4860
265	ɛ	i	b	d	452	1095	58
266	i	ɛ	s	v	4858	4856	3231
267	ɛ	t	s	k	1086	540	571
268	t	ɛ	s	ʃ	2396	2395	2398
269	t	ɛ	s	p	4907	4903	4910
270	u	i	h	k	2652	2651	2654
271	u	i	t	ɡ	5018	5017	5020
272	m	ɹ	d	ɛ	2811	5085	2037
273	m	ɹ	z	ʌ	2675	2678	2676
274	m	ɹ	ɛ	b	5091	5093	5094
275	ɹ	m	z	ʌ	2678	2675	2679
276	ɹ	m	ɛ	b	5093	5091	5096
277	ɹ	p	ɑ	t	3960	3267	3272
278	s	p	æ	t	2185	4425	2892
279	p	s	ɛ	t	5253	5064	3123
280	p	s	æ	t	4425	2185	3865
281	p	s	ʌ	t	4422	2891	4423
282	p	z	æ	t	3865	5277	4425
283	p	z	æ	s	3808	3032	2046
284	z	p	æ	t	5277	3865	5279
285	ɹ	s	ɑ	p	4438	4392	4389
286	s	ɹ	ɑ	p	4392	4438	4391
287	v	s	ʌ	k	4593	4051	4061
288	v	s	æ	b	5462	3920	5514
289	s	v	ɪ	t	4059	4450	2853
290	s	v	æ	b	3920	5462	3133
291	s	z	ɪ	p	5484	5485	5486
292	z	s	ɪ	p	5485	5484	3296
293	z	v	ʌ	b	5521	5518	4456
294	tʃ	v	ʌ	k	4488	4489	3678
295	tʃ	v	ʌ	t	3676	3677	3082
296	v	tʃ	ʌ	t	3677	3676	2902
297	i	s	k	p	1959	1893	1960
298	i	s	b	t	2590	1107	283
299	s	i	k	p	1893	1959	1892
300	t	s	ɪ	ɡ	5804	5419	5422
301	ɑ	æ	p	s	28	1843	26
302	ɑ	æ	k	s	2934	2935	1850
303	æ	ɑ	p	s	1843	28	1925
304	æ	ɑ	k	s	2935	2934	1912
305	ʌ	ɑ	t	p	1956	1860	1944
306	ʌ	ɑ	k	s	1849	1850	1851
307	ʌ	ɑ	b	s	1857	1839	1858
308	ɑ	ʌ	k	s	1850	1849	1852
309	ɑ	ʌ	b	s	1839	1857	1841
310	ɑ	ɛ	b	s	1839	1862	1841
311	ɛ	ɑ	b	s	1862	1839	1863
312	ɑ	eɪ	p	p	1867	1868	1869
313	ɑ	eɪ	k	s	1850	1865	1852
314	eɪ	ɑ	ʃ	k	73	72	75
315	i	ɑ	p	p	1884	1883	1885
316	ɑ	oʊ	k	s	1852	1886	1850
317	oʊ	ɑ	s	f	1888	99	350
318	ɑ	s	k	p	56	1892	54
319	æ	ʌ	k	s	1906	1851	1912
320	æ	ʌ	k	p	127	128	129
321	ʌ	æ	k	s	1851	1906	1849
322	ʌ	æ	k	p	128	127	130
323	æ	eɪ	k	t	2955	1909	1910
324	æ	eɪ	d	z	121	264	123
325	eɪ	æ	d	z	264	121	265
326	æ	i	p	s	1843	1882	1925
327	æ	i	b	k	1846	1921	1848
328	æ	i	s	k	1932	4999	171
329	i	æ	s	k	4999	1932	179
330	æ	oʊ	d	z	148	191	123
331	æ	s	k	p	127	1966	129
332	æ	s	p	t	2959	101	210
333	s	æ	t	k	199	198	105
334	s	æ	k	p	1966	127	1892
335	s	æ	p	t	101	2959	102
336	æ	ʊ	t	k	125	1938	126
337	ʌ	ɛ	b	s	1857	1862	1858
338	ʌ	ɛ	k	p	128	1116	130
339	ɛ	ʌ	b	s	1862	1857	1863
340	ɛ	ʌ	k	p	1116	128	55
341	ʌ	eɪ	k	p	130	1872	128
342	ʌ	ɪ	h	z	1951	1952	1953
343	ɪ	ʌ	h	z	1952	1951	1954
344	ɪ	ʌ	d	z	1950	276	271
345	ʌ	oʊ	s	f	1962	1963	229
346	oʊ	ʌ	s	f	1963	1962	350
347	oʊ	ʌ	k	s	1887	1851	1886
348	ʌ	s	k	p	128	1966	130
349	ʌ	t	k	s	1849	1896	1851
350	t	ʌ	s	f	298	297	110
351	b	d	æ	s	1974	2972	1976
352	b	d	z	ɪ	2078	2296	1978
353	b	d	z	ɛ	2997	2285	633
354	d	b	æ	s	2972	1974	1977
355	d	b	z	ɪ	2296	2078	2302
356	d	b	z	ɛ	2285	2997	925
357	b	v	z	ɪ	1980	2086	2078
358	b	v	d	ɛ	2083	1832	2975
359	f	tʃ	z	ɑ	2222	2111	2221
360	f	tʃ	ɪ	ð	2441	2163	2442
361	tʃ	k	ɪ	s	821	855	819
362	k	tʃ	z	ɑ	2139	2109	2140
363	k	tʃ	ɪ	s	855	821	1548
364	tʃ	m	z	ɛ	634	3054	636
365	m	tʃ	z	ɛ	3054	634	1637
366	tʃ	ŋ	ɪ	ð	2163	2164	2105
367	ŋ	tʃ	ɪ	ð	2164	2163	2165
368	d	f	z	ɑ	2110	2221	2112
369	d	k	ʊ	ɪ	2242	2243	2244
370	k	d	ʊ	ɪ	2243	2242	2245
371	d	l	s	ɪ	962	979	646
372	d	l	ɪ	ð	2108	3699	2106
373	l	d	s	ɪ	979	962	2749
374	l	d	ɪ	ð	3699	2108	3701
375	l	d	z	ɛ	1598	925	2144
376	m	d	z	ʌ	2675	2238	2676
377	n	d	æ	s	2044	1977	2042
378	p	d	z	ɑ	2272	2271	2554
379	p	d	ɪ	s	1673	984	879
380	d	t	æ	s	1977	2068	2972
381	d	t	æ	ð	3110	3922	3112
382	t	d	ʊ	s	3925	3924	3929
383	v	d	æ	ð	3148	3147	3149
384	w	d	z	ɪ	2920	2296	2921
385	z	d	v	ɪ	2587	1983	2311
386	ð	n	ɪ	ɪ	2114	2503	2354
387	n	ð	ɪ	ɪ	2503	2114	2157
388	n	ð	t	ʌ	514	451	1157
389	eɪ	ɛ	t	k	1092	326	76
390	eɪ	ɛ	s	t	1090	1087	1091
391	eɪ	ɛ	s	k	173	571	172
392	oʊ	ɛ	s	k	1100	571	522
393	eɪ	i	ʃ	k	73	86	75
394	eɪ	i	s	t	1091	341	1090
395	eɪ	i	s	v	3230	3231	3232
396	i	eɪ	s	v	3231	3230	3234
397	i	eɪ	s	t	341	1091	4954
398	eɪ	oʊ	s	f	3235	3236	3237
399	eɪ	oʊ	d	z	1249	191	264
400	s	eɪ	t	k	199	2406	105
401	s	eɪ	k	t	1930	1909	293
402	eɪ	s	k	p	1871	1892	1872
403	eɪ	s	k	t	1909	1930	1911
404	f	k	æ	t	2462	2721	2460
405	k	f	z	ɑ	2139	2221	2140
406	k	f	æ	t	2721	2462	3049
407	f	l	ɛ	t	3247	3251	3091
408	f	l	ɪ	ɪ	2425	2426	2122
409	f	l	ɪ	t	2320	2771	2318
410	l	f	ɛ	t	3251	3247	3753
411	l	f	ɪ	ɪ	2426	2425	2489
412	f	m	ɪ	ɪ	2122	3052	2123
413	f	m	ɪ	t	2320	3491	2318
414	f	m	ɪ	h	3157	3754	2316
415	m	f	ɪ	ɪ	3052	2122	2146
416	m	f	ɪ	t	3491	2320	3827
417	m	f	ɪ	h	3754	3157	3818
418	f	n	ɪ	ɪ	2122	2503	2123
419	f	n	ɪ	t	2320	2833	2318
420	f	n	z	ɛ	674	1373	2128
421	n	f	ɪ	ɪ	2503	2122	2157
422	n	f	ɪ	t	2833	2320	2834
423	f	ŋ	ɪ	ð	2441	2164	2442
424	f	ŋ	ɪ	h	3157	3176	2316
425	f	ŋ	ɪ	t	3286	3121	2318
426	ŋ	f	ɪ	ð	2164	2441	2165
427	ŋ	f	ɪ	h	3176	3157	2359
428	ŋ	f	ɪ	t	3121	3286	2444
429	f	s	ʌ	t	3288	4058	2458
430	f	s	ɪ	t	2318	4451	2443
431	f	s	æ	t	2460	2186	2462
432	s	f	ʌ	t	4058	3288	2891
433	f	w	v	ɪ	1313	3029	1315
434	w	f	z	ɪ	2921	2003	2920
435	w	f	v	ɪ	3029	1313	3027
436	f	z	ɪ	ð	2441	3555	2442
437	z	f	ɪ	ð	3555	2441	3556
438	m	h	v	ɪ	2996	3880	2039
439	p	h	v	ɛ	2556	3321	3324
440	ɪ	oʊ	s	f	3785	350	3349
441	ɪ	oʊ	d	z	583	191	271
442	oʊ	ɪ	s	f	350	3785	1888
443	oʊ	ɪ	d	z	191	583	192
444	s	ɪ	p	t	1422	2595	101
445	s	ɪ	k	t	1930	1917	1894
446	ɪ	s	t	k	336	352	2589
447	ɪ	s	k	t	1917	1930	1918
448	ɪ	t	s	f	3349	110	3785
449	t	ɪ	s	k	540	1093	541
450	ɪ	ʊ	t	k	273	119	2589
451	ʊ	ɪ	t	k	119	273	120
452	ʊ	ɪ	p	t	1204	2595	114
453	ɪ	u	h	s	3787	3788	3789
454	ɪ	u	d	s	3352	2602	3353
455	u	ɪ	t	k	215	1955	216
456	u	ɪ	h	s	3788	3787	2648
457	u	ɪ	d	s	2602	3352	301
458	i	oʊ	s	ɪ	963	1445	694
459	i	oʊ	ð	z	3792	3793	3794
460	i	oʊ	h	p	2616	2617	2618
461	oʊ	i	s	ɪ	1445	963	1446
462	i	ʊ	ʃ	k	1452	1453	86
463	ʊ	i	ʃ	k	1453	1452	117
464	ʊ	i	h	d	1206	3633	546
465	k	l	ɪ	t	2722	3407	2724
466	k	l	ɛ	t	3248	3251	3250
467	l	k	ɪ	t	3407	2722	2771
468	l	k	ɛ	t	3251	3248	3753
469	k	m	ɛ	t	3248	3410	3250
470	k	m	z	ʌ	2718	2803	2660
471	m	k	ɛ	t	3410	3248	3412
472	m	k	t	æ	596	2025	598
473	m	k	z	ʌ	2803	2718	2675
474	k	n	ɪ	t	2722	3804	2724
475	k	n	t	ʌ	1143	1157	1142
476	k	n	ɪ	s	856	870	855
477	n	k	ɪ	t	3804	2722	2833
478	n	k	t	ʌ	1157	1143	514
479	n	k	ɪ	s	870	856	2698
480	k	p	æ	s	3430	3566	2990
481	k	p	z	ɑ	2139	2273	2140
482	k	p	ɪ	s	1524	996	855
483	p	k	ɪ	s	996	1524	1673
484	k	w	s	ɪ	712	2659	713
485	w	k	s	ɪ	2659	712	788
486	k	z	æ	s	3653	3034	2990
487	k	z	æ	ɪ	2696	3437	2694
488	k	z	ɪ	s	1548	2926	855
489	z	k	æ	s	3034	3653	3032
490	z	k	æ	ɪ	3437	2696	2306
491	l	m	ɪ	ɪ	2426	2748	2489
492	l	m	ɪ	t	2771	3491	2772
493	l	m	ɪ	s	862	865	861
494	m	l	ɪ	ɪ	2748	2426	2146
495	m	l	ɪ	t	3491	2771	3827
496	m	l	ɪ	s	865	862	864
497	n	l	ɪ	ɪ	2355	2489	2157
498	l	ŋ	ɪ	z	3298	3819	3300
499	l	ŋ	ɪ	ð	3701	2165	3699
500	ŋ	l	ɪ	ð	2165	3701	2164
501	l	t	s	ɪ	979	4541	2749
502	l	t	ɪ	ð	3701	3905	3699
503	t	l	s	ɪ	4541	979	1342
504	t	l	ɪ	ð	3905	3701	3901
505	t	l	ɪ	s	904	861	905
506	l	v	ɪ	z	3300	3551	3298
507	l	v	ɪ	s	981	1017	861
508	l	v	z	ɛ	1598	1080	2144
509	v	l	ɪ	z	3551	3300	3550
510	v	l	ɪ	s	1017	981	1018
511	l	z	ɪ	ð	3699	3556	3701
512	z	l	ɪ	ð	3556	3699	3555
513	m	n	ɪ	ɪ	3052	2503	2146
514	n	m	ɪ	ɪ	2503	3052	2157
515	n	m	ɪ	t	2833	3491	2834
516	n	m	ɪ	s	870	865	2698
517	m	ŋ	ɪ	h	3754	3176	3818
518	m	ŋ	ɪ	s	1606	1516	864
519	ŋ	m	ɪ	h	3176	3754	2359
520	v	m	d	ɛ	1831	2037	1832
521	v	m	ʌ	t	3677	2801	2902
522	v	m	ɪ	s	1018	1635	1017
523	m	w	v	ʌ	4019	4020	4021
524	m	w	z	ɛ	1637	1638	2256
525	w	m	v	ʌ	4020	4019	2930
526	w	m	d	ɪ	1822	1150	3611
527	m	z	ɪ	s	864	2205	865
528	z	m	d	ɪ	1233	1150	2097
529	z	m	ɪ	s	2205	864	2309
530	n	ŋ	ɪ	z	3836	3549	3837
531	n	ŋ	ɪ	ð	4003	2165	4002
532	n	ŋ	ɪ	f	3507	3508	3057
533	ŋ	n	ɪ	z	3549	3836	3451
534	ŋ	n	ɪ	ð	2165	4003	2164
535	ŋ	n	ɪ	f	3508	3507	2166
536	n	p	ɪ	s	869	879	2698
537	p	n	z	ɑ	2554	3319	2272
538	n	t	ɪ	ð	4003	3905	4002
539	t	n	ɪ	ð	3905	4003	3901
540	n	v	ɪ	z	3836	3550	3837
541	n	v	ʌ	ɪ	3527	3602	3529
542	v	n	ɪ	z	3550	3836	3551
543	v	n	ʌ	ɪ	3602	3527	2194
544	ŋ	z	ɪ	b	3552	3553	3554
545	z	ŋ	ɪ	h	2927	2360	2376
546	oʊ	s	t	d	605	1704	603
547	oʊ	s	k	t	1702	1894	1703
548	s	oʊ	k	t	1894	1702	293
549	oʊ	t	s	b	2863	2864	3557
550	t	oʊ	s	k	540	521	541
551	t	oʊ	s	ð	296	289	358
552	t	w	s	ɪ	3338	789	1342
553	t	w	s	ɛ	4070	2374	4071
554	t	w	k	ɪ	4050	2785	2571
555	w	t	s	ɛ	2374	4070	2924
556	w	t	k	ɪ	2785	4050	2582
557	w	t	s	ɪ	789	3338	788
558	v	w	s	ɛ	2734	2924	2733
559	v	w	z	ɪ	2085	3612	2086
560	v	w	z	ɛ	3871	1638	786
561	w	v	s	ɛ	2924	2734	2374
562	w	v	z	ɪ	3612	2085	2920
563	w	v	z	ɛ	1638	3871	793
564	æ	t	k	f	4126	4127	4128
565	æ	t	s	k	1932	1933	171
566	t	æ	k	s	1897	1904	1896
567	t	æ	k	f	4127	4126	4130
568	t	æ	s	k	1933	1932	540
569	ɹ	t	ɑ	ð	4168	4169	4170
570	t	ɹ	ɑ	ð	4169	4168	4172
571	ʌ	i	b	s	1858	1957	1857
572	ʌ	i	ʃ	t	4199	4200	4201
573	i	ʌ	k	p	1959	1949	1960
574	i	ʌ	b	s	1957	1858	1923
575	i	ʌ	ʃ	t	4200	4199	1454
576	b	f	z	ɪ	1980	4209	2078
577	b	f	z	ɛ	633	674	635
578	b	f	s	æ	3013	3283	3012
579	f	b	z	ɪ	4209	1980	2002
580	f	b	z	ɛ	674	633	2128
581	f	b	s	æ	3283	3013	3281
582	b	h	d	ɪ	2010	2481	774
583	b	h	s	æ	3012	4266	3013
584	h	b	d	ɪ	2481	2010	1238
585	h	b	s	æ	4266	3012	3975
586	b	l	z	ɪ	4210	4216	2078
587	b	l	ʌ	dʒ	2071	4218	2073
588	b	l	z	ɛ	635	1596	633
589	l	b	z	ɪ	4216	4210	4217
590	l	b	ʌ	dʒ	4218	2071	4219
591	l	b	z	ɛ	1596	635	2144
592	b	n	æ	s	1976	2042	2043
593	b	n	v	ɑ	4215	4222	4214
594	b	n	z	ɛ	633	1373	635
595	n	b	æ	s	2042	1976	2044
596	n	b	v	ɑ	4222	4215	4223
597	n	b	z	ɛ	1373	633	2045
598	b	ɹ	s	æ	3012	2627	3013
599	tʃ	p	æ	t	2101	4425	3037
600	tʃ	p	z	ɑ	3061	2554	2109
601	p	tʃ	ɪ	s	879	819	1673
602	tʃ	s	ʌ	æ	2161	2184	2159
603	tʃ	s	ʌ	t	3082	4245	3676
604	s	tʃ	ʌ	æ	2184	2161	2183
605	s	tʃ	ʌ	t	4245	3082	2891
606	tʃ	t	ɪ	s	819	904	821
607	tʃ	t	ɪ	ð	2107	3901	2105
608	t	tʃ	ɪ	s	904	819	905
609	t	tʃ	ɪ	ð	3901	2107	3905
610	t	tʃ	ɪ	h	3946	3668	4068
611	d	h	z	ɪ	4253	2580	2296
612	ð	m	s	æ	4271	4274	3185
613	ð	m	ɪ	ɪ	2114	3052	2354
614	m	ð	z	ɛ	1637	2372	2256
615	m	ð	s	æ	4274	4271	4273
616	m	ð	ɪ	ɪ	3052	2114	2146
617	ɛ	u	s	p	4303	4304	4305
618	ɛ	u	d	s	254	301	256
619	ɛ	u	t	s	3221	3222	3223
620	u	ɛ	d	s	301	254	302
621	u	ɛ	t	s	3222	3221	3224
622	f	p	s	ɑ	3956	4428	3954
623	f	p	z	ɑ	2221	2273	2222
624	p	f	s	ɑ	4428	3956	4426
